date,clean,quality,bars,rth_bar_count,expected_rth_bar_count,missing_minute_count,zero_volume_rth_count,zero_volume_post_or_count,session_end_ts,expected_session_end_ts,early_close_flag,full_session_clean,full_session_quality,first_timestamp,last_timestamp,or_zero_volume_bars,or_total_volume,or_size,or_class,or_history_count
2023-05-25,False,late_start,385,385,390,5,382,374,2023-05-25 15:59:00-04:00,2023-05-25 15:59:00-04:00,False,False,zero_volume_or_and_post_or+missing_rth_minutes,2023-05-25T09:35:00-04:00,2023-05-25T15:59:00-04:00,8,6.0,,unknown,0
2023-05-26,False,late_start,381,381,390,9,371,366,2023-05-26 15:59:00-04:00,2023-05-26 15:59:00-04:00,False,False,zero_volume_or_and_post_or+missing_rth_minutes,2023-05-26T09:39:00-04:00,2023-05-26T15:59:00-04:00,5,2.0,,unknown,0
2023-05-31,False,zero_volume_or,390,390,390,0,390,375,2023-05-31 15:59:00-04:00,2023-05-31 15:59:00-04:00,False,False,zero_volume_or_and_post_or,2023-05-31T09:30:00-04:00,2023-05-31T15:59:00-04:00,15,0.0,,unknown,0
2023-06-01,False,late_start,240,240,390,150,237,237,2023-06-01 15:59:00-04:00,2023-06-01 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,2023-06-01T12:00:00-04:00,2023-06-01T15:59:00-04:00,0,,,unknown,0
2023-06-06,False,zero_volume_or,390,390,390,0,390,375,2023-06-06 15:59:00-04:00,2023-06-06 15:59:00-04:00,False,False,zero_volume_or_and_post_or,2023-06-06T09:30:00-04:00,2023-06-06T15:59:00-04:00,15,0.0,,unknown,0
2023-06-12,False,late_start,50,50,390,340,49,49,2023-06-12 15:59:00-04:00,2023-06-12 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,2023-06-12T15:10:00-04:00,2023-06-12T15:59:00-04:00,0,,,unknown,0
2023-06-14,False,late_start,299,299,390,91,298,298,2023-06-14 15:59:00-04:00,2023-06-14 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,2023-06-14T11:01:00-04:00,2023-06-14T15:59:00-04:00,0,,,unknown,0
2023-06-15,False,late_start,124,124,390,266,123,123,2023-06-15 15:59:00-04:00,2023-06-15 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,2023-06-15T13:56:00-04:00,2023-06-15T15:59:00-04:00,0,,,unknown,0
2023-06-16,False,zero_volume_or,390,390,390,0,389,375,2023-06-16 15:59:00-04:00,2023-06-16 15:59:00-04:00,False,False,zero_volume_or_and_post_or,2023-06-16T09:30:00-04:00,2023-06-16T15:59:00-04:00,14,1.0,,unknown,0
2023-06-26,False,late_start,280,280,390,110,278,278,2023-06-26 15:59:00-04:00,2023-06-26 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,2023-06-26T11:20:00-04:00,2023-06-26T15:59:00-04:00,0,,,unknown,0
2023-06-27,False,late_start,382,382,390,8,381,375,2023-06-27 15:59:00-04:00,2023-06-27 15:59:00-04:00,False,False,zero_volume_or_and_post_or+missing_rth_minutes,2023-06-27T09:38:00-04:00,2023-06-27T15:59:00-04:00,6,1.0,,unknown,0
2023-06-30,False,late_start,372,372,390,18,369,369,2023-06-30 15:59:00-04:00,2023-06-30 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,2023-06-30T09:48:00-04:00,2023-06-30T15:59:00-04:00,0,,,unknown,0
2023-07-03,False,zero_volume_or,120,120,390,270,120,105,2023-07-03 11:29:00-04:00,2023-07-03 15:59:00-04:00,False,False,zero_volume_or_and_post_or+missing_rth_minutes,2023-07-03T09:30:00-04:00,2023-07-03T11:29:00-04:00,15,0.0,,unknown,0
2023-07-05,False,late_start,340,340,390,50,339,339,2023-07-05 15:59:00-04:00,2023-07-05 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,2023-07-05T10:20:00-04:00,2023-07-05T15:59:00-04:00,0,,,unknown,0
2023-07-13,False,zero_volume_or,390,390,390,0,387,372,2023-07-13 15:59:00-04:00,2023-07-13 15:59:00-04:00,False,False,zero_volume_or_and_post_or,2023-07-13T09:30:00-04:00,2023-07-13T15:59:00-04:00,15,0.0,,unknown,0
2023-07-18,False,late_start,212,212,390,178,211,211,2023-07-18 15:59:00-04:00,2023-07-18 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,2023-07-18T12:28:00-04:00,2023-07-18T15:59:00-04:00,0,,,unknown,0
2023-07-19,False,zero_volume_or,390,390,390,0,390,375,2023-07-19 15:59:00-04:00,2023-07-19 15:59:00-04:00,False,False,zero_volume_or_and_post_or,2023-07-19T09:30:00-04:00,2023-07-19T15:59:00-04:00,15,0.0,,unknown,0
2023-07-20,False,zero_volume_or,390,390,390,0,388,373,2023-07-20 15:59:00-04:00,2023-07-20 15:59:00-04:00,False,False,zero_volume_or_and_post_or,2023-07-20T09:30:00-04:00,2023-07-20T15:59:00-04:00,15,0.0,,unknown,0
2023-08-08,False,late_start,261,261,390,129,259,259,2023-08-08 15:59:00-04:00,2023-08-08 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,2023-08-08T11:39:00-04:00,2023-08-08T15:59:00-04:00,0,,,unknown,0
2023-08-09,False,late_start,278,278,390,112,277,277,2023-08-09 15:59:00-04:00,2023-08-09 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,2023-08-09T11:22:00-04:00,2023-08-09T15:59:00-04:00,0,,,unknown,0
2023-08-15,False,late_start,348,348,390,42,346,346,2023-08-15 15:59:00-04:00,2023-08-15 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,2023-08-15T10:12:00-04:00,2023-08-15T15:59:00-04:00,0,,,unknown,0
2023-08-16,False,zero_volume_or,390,390,390,0,390,375,2023-08-16 15:59:00-04:00,2023-08-16 15:59:00-04:00,False,False,zero_volume_or_and_post_or,2023-08-16T09:30:00-04:00,2023-08-16T15:59:00-04:00,15,0.0,,unknown,0
2023-08-17,False,late_start,115,115,390,275,114,114,2023-08-17 15:59:00-04:00,2023-08-17 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,2023-08-17T14:05:00-04:00,2023-08-17T15:59:00-04:00,0,,,unknown,0
2023-08-24,False,late_start,374,374,390,16,372,372,2023-08-24 15:59:00-04:00,2023-08-24 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,2023-08-24T09:46:00-04:00,2023-08-24T15:59:00-04:00,0,,,unknown,0
2023-08-29,False,late_start,285,285,390,105,283,283,2023-08-29 15:59:00-04:00,2023-08-29 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,2023-08-29T11:15:00-04:00,2023-08-29T15:59:00-04:00,0,,,unknown,0
2023-08-31,False,late_start,252,252,390,138,249,249,2023-08-31 15:59:00-04:00,2023-08-31 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,2023-08-31T11:48:00-04:00,2023-08-31T15:59:00-04:00,0,,,unknown,0
2023-09-01,False,zero_volume_or,390,390,390,0,390,375,2023-09-01 15:59:00-04:00,2023-09-01 15:59:00-04:00,False,False,zero_volume_or_and_post_or,2023-09-01T09:30:00-04:00,2023-09-01T15:59:00-04:00,15,0.0,,unknown,0
2023-09-06,False,late_start,329,329,390,61,328,328,2023-09-06 15:59:00-04:00,2023-09-06 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,2023-09-06T10:31:00-04:00,2023-09-06T15:59:00-04:00,0,,,unknown,0
2023-09-08,False,late_start,206,206,390,184,205,205,2023-09-08 15:59:00-04:00,2023-09-08 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,2023-09-08T12:34:00-04:00,2023-09-08T15:59:00-04:00,0,,,unknown,0
2023-09-12,False,late_start,31,31,390,359,30,30,2023-09-12 15:59:00-04:00,2023-09-12 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,2023-09-12T15:29:00-04:00,2023-09-12T15:59:00-04:00,0,,,unknown,0
2023-09-13,False,zero_volume_or,390,390,390,0,378,363,2023-09-13 15:59:00-04:00,2023-09-13 15:59:00-04:00,False,False,zero_volume_or_and_post_or,2023-09-13T09:30:00-04:00,2023-09-13T15:59:00-04:00,15,0.0,,unknown,0
2023-09-14,False,late_start,245,245,390,145,243,243,2023-09-14 15:59:00-04:00,2023-09-14 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,2023-09-14T11:55:00-04:00,2023-09-14T15:59:00-04:00,0,,,unknown,0
2023-09-15,False,late_start,387,387,390,3,382,371,2023-09-15 15:59:00-04:00,2023-09-15 15:59:00-04:00,False,False,zero_volume_or_and_post_or+missing_rth_minutes,2023-09-15T09:33:00-04:00,2023-09-15T15:59:00-04:00,11,1.0,,unknown,0
2023-09-18,False,zero_volume_or,390,390,390,0,387,372,2023-09-18 15:59:00-04:00,2023-09-18 15:59:00-04:00,False,False,zero_volume_or_and_post_or,2023-09-18T09:30:00-04:00,2023-09-18T15:59:00-04:00,15,0.0,,unknown,0
2023-09-19,False,zero_volume_or,390,390,390,0,385,370,2023-09-19 15:59:00-04:00,2023-09-19 15:59:00-04:00,False,False,zero_volume_or_and_post_or,2023-09-19T09:30:00-04:00,2023-09-19T15:59:00-04:00,15,0.0,,unknown,0
2023-09-20,False,zero_volume_or,390,390,390,0,383,368,2023-09-20 15:59:00-04:00,2023-09-20 15:59:00-04:00,False,False,zero_volume_or_and_post_or,2023-09-20T09:30:00-04:00,2023-09-20T15:59:00-04:00,15,0.0,,unknown,0
2023-09-21,False,zero_volume_or,390,390,390,0,386,371,2023-09-21 15:59:00-04:00,2023-09-21 15:59:00-04:00,False,False,zero_volume_or_and_post_or,2023-09-21T09:30:00-04:00,2023-09-21T15:59:00-04:00,15,0.0,,unknown,0
