date,rule_version,tier1_rule_hash,tier2_rule_hash,a_plus_rule_hash,data_file_hash,data_last_timestamp,run_timestamp_utc,clean,quality,rth_bar_count,expected_rth_bar_count,missing_minute_count,zero_volume_rth_count,zero_volume_post_or_count,session_end_ts,expected_session_end_ts,early_close_flag,full_session_clean,full_session_quality,or_class,or_percentile,or_history_count,or_history_window,or_high,or_low,or_size,or_close_position,execute_rule,tier1_a_plus_tag,tier1_eligible,tier1_rejection_reason,tier1_breakout_ts,tier1_signal_ts,tier1_entry_ts,tier1_raw_entry_price,tier1_entry_price,tier1_stop_price,tier1_target_price,tier1_exit_ts,tier1_raw_exit_price,tier1_exit_price,tier1_exit_reason,tier1_net_pnl,tier1_signal_bar_open,tier1_signal_bar_high,tier1_signal_bar_low,tier1_signal_bar_close,tier1_signal_bar_volume,tier1_signal_bar_vwap,tier1_entry_bar_open,tier1_entry_bar_high,tier1_entry_bar_low,tier1_entry_bar_close,tier1_entry_bar_volume,tier1_entry_bar_vwap,tier1_exit_bar_open,tier1_exit_bar_high,tier1_exit_bar_low,tier1_exit_bar_close,tier1_exit_bar_volume,tier1_exit_bar_vwap,tier2_shadow_eligible,tier2_shadow_rejection_reason,tier2_shadow_breakout_ts,tier2_shadow_signal_ts,tier2_shadow_entry_ts,tier2_shadow_raw_entry_price,tier2_shadow_entry_price,tier2_shadow_stop_price,tier2_shadow_target_price,tier2_shadow_exit_ts,tier2_shadow_raw_exit_price,tier2_shadow_exit_price,tier2_shadow_exit_reason,tier2_shadow_net_pnl,tier2_shadow_signal_bar_open,tier2_shadow_signal_bar_high,tier2_shadow_signal_bar_low,tier2_shadow_signal_bar_close,tier2_shadow_signal_bar_volume,tier2_shadow_signal_bar_vwap,tier2_shadow_entry_bar_open,tier2_shadow_entry_bar_high,tier2_shadow_entry_bar_low,tier2_shadow_entry_bar_close,tier2_shadow_entry_bar_volume,tier2_shadow_entry_bar_vwap,tier2_shadow_exit_bar_open,tier2_shadow_exit_bar_high,tier2_shadow_exit_bar_low,tier2_shadow_exit_bar_close,tier2_shadow_exit_bar_volume,tier2_shadow_exit_bar_vwap,a_plus_shadow_eligible,a_plus_shadow_rejection_reason,a_plus_shadow_breakout_ts,a_plus_shadow_signal_ts,a_plus_shadow_entry_ts,a_plus_shadow_raw_entry_price,a_plus_shadow_entry_price,a_plus_shadow_stop_price,a_plus_shadow_target_price,a_plus_shadow_exit_ts,a_plus_shadow_raw_exit_price,a_plus_shadow_exit_price,a_plus_shadow_exit_reason,a_plus_shadow_net_pnl,a_plus_shadow_signal_bar_open,a_plus_shadow_signal_bar_high,a_plus_shadow_signal_bar_low,a_plus_shadow_signal_bar_close,a_plus_shadow_signal_bar_volume,a_plus_shadow_signal_bar_vwap,a_plus_shadow_entry_bar_open,a_plus_shadow_entry_bar_high,a_plus_shadow_entry_bar_low,a_plus_shadow_entry_bar_close,a_plus_shadow_entry_bar_volume,a_plus_shadow_entry_bar_vwap,a_plus_shadow_exit_bar_open,a_plus_shadow_exit_bar_high,a_plus_shadow_exit_bar_low,a_plus_shadow_exit_bar_close,a_plus_shadow_exit_bar_volume,a_plus_shadow_exit_bar_vwap
2023-03-31,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,False,late_start,259,390,131,256,256,2023-03-31 15:59:00-04:00,2023-03-31 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,unknown,,0,20,,,,,tier1_pilot,False,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,False,late_start,240,390,150,239,239,2023-04-06 15:59:00-04:00,2023-04-06 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,unknown,,0,20,,,,,tier1_pilot,False,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,False,late_start,381,390,9,380,375,2023-04-10 15:59:00-04:00,2023-04-10 15:59:00-04:00,False,False,zero_volume_or_and_post_or+missing_rth_minutes,unknown,,0,20,,,,,tier1_pilot,False,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-13,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,False,late_start,331,390,59,329,329,2023-04-13 15:59:00-04:00,2023-04-13 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,unknown,,0,20,,,,,tier1_pilot,False,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-18,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,False,zero_volume_or,390,390,0,388,373,2023-04-18 15:59:00-04:00,2023-04-18 15:59:00-04:00,False,False,zero_volume_or_and_post_or,unknown,,0,20,,,,,tier1_pilot,False,False,zero_volume_or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,zero_volume_or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,zero_volume_or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-24,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,False,late_start,129,390,261,128,128,2023-04-24 15:59:00-04:00,2023-04-24 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,unknown,,0,20,,,,,tier1_pilot,False,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-25,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,False,late_start,78,390,312,77,77,2023-04-25 15:59:00-04:00,2023-04-25 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,unknown,,0,20,,,,,tier1_pilot,False,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-28,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,False,zero_volume_or,390,390,0,390,375,2023-04-28 15:59:00-04:00,2023-04-28 15:59:00-04:00,False,False,zero_volume_or_and_post_or,unknown,,0,20,,,,,tier1_pilot,False,False,zero_volume_or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,zero_volume_or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,zero_volume_or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-04,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,False,late_start,320,390,70,319,319,2023-05-04 15:59:00-04:00,2023-05-04 15:59:00-04:00,False,False,zero_volume_post_or+missing_rth_minutes,unknown,,0,20,,,,,tier1_pilot,False,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-10,phase6_causal_or_retest_v1,d8df78957051c9de,25c269cde02debe4,7b30e3d97c41bd58,ed5db2d90d8371c44cbe212d6d16ad117537c9e185a6592a6ca108ece643d8ce,2026-04-24T15:59:00-04:00,2026-04-26T01:55:46.523945+00:00,False,late_start,386,390,4,385,375,2023-05-10 15:59:00-04:00,2023-05-10 15:59:00-04:00,False,False,zero_volume_or_and_post_or+missing_rth_minutes,unknown,,0,20,,,,,tier1_pilot,False,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,late_start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
