rule,direction,or_class,signals,sum_pnl,mean_pnl,win_rate
ema_continuation,long,normal,43,-1199.1200000000001,-27.88651162790698,0.23255813953488372
ema_continuation,long,tight,27,150.8199999999999,5.585925925925922,0.4074074074074074
ema_continuation,long,wide,14,-93.76000000000005,-6.69714285714286,0.2857142857142857
ema_continuation,short,normal,39,252.23999999999987,6.467692307692304,0.38461538461538464
ema_continuation,short,tight,18,-535.6200000000001,-29.756666666666675,0.16666666666666666
ema_continuation,short,wide,16,207.05999999999995,12.941249999999997,0.4375
inverse_orb,long,normal,34,-580.5600000000002,-17.075294117647065,0.2647058823529412
inverse_orb,long,tight,19,255.53999999999994,13.449473684210522,0.42105263157894735
inverse_orb,long,wide,9,158.93999999999997,17.659999999999997,0.4444444444444444
inverse_orb,short,normal,34,-499.5600000000001,-14.692941176470592,0.2647058823529412
inverse_orb,short,tight,24,-56.16000000000008,-2.3400000000000034,0.3333333333333333
inverse_orb,short,wide,12,-388.08000000000004,-32.34,0.16666666666666666
orb_break,long,normal,38,-208.92000000000013,-5.497894736842109,0.3157894736842105
orb_break,long,tight,25,-118.50000000000009,-4.740000000000004,0.32
orb_break,long,wide,13,89.57999999999996,6.890769230769227,0.38461538461538464
orb_break,short,normal,38,-388.92000000000013,-10.234736842105267,0.2894736842105263
orb_break,short,tight,21,-49.14000000000007,-2.3400000000000034,0.3333333333333333
orb_break,short,wide,11,214.25999999999996,19.478181818181813,0.45454545454545453
orb_retest,long,normal,34,40.439999999999884,1.1894117647058788,0.35294117647058826
orb_retest,long,tight,25,241.49999999999991,9.659999999999997,0.4
orb_retest,long,wide,13,-270.4200000000001,-20.801538461538467,0.23076923076923078
orb_retest,short,normal,36,-984.2400000000001,-27.340000000000003,0.19444444444444445
orb_retest,short,tight,20,-346.80000000000007,-17.340000000000003,0.25
orb_retest,short,wide,10,96.59999999999997,9.659999999999997,0.4
