rule,direction,entry_ts,entry_price,exit_ts,exit_price,exit_reason,net_pnl,date,or_class
orb_break,short,2025-11-13 10:46:00-05:00,25253.75,2025-11-13 11:07:00-05:00,25194.25,target,117.66,2025-11-13,wide
ema_continuation,short,2025-11-13 12:31:00-05:00,25246.5,2025-11-13 12:45:00-05:00,25187.0,target,117.66,2025-11-13,wide
orb_break,long,2025-11-14 09:46:00-05:00,24868.25,2025-11-14 09:52:00-05:00,24927.75,target,117.66,2025-11-14,wide
orb_retest,long,2025-11-14 09:47:00-05:00,24885.0,2025-11-14 09:54:00-05:00,24944.5,target,117.66,2025-11-14,wide
ema_continuation,long,2025-11-14 12:50:00-05:00,25185.75,2025-11-14 13:02:00-05:00,25155.25,stop,-62.34,2025-11-14,wide
ema_continuation,short,2025-11-14 13:54:00-05:00,25186.25,2025-11-14 14:09:00-05:00,25126.75,target,117.66,2025-11-14,wide
orb_break,long,2025-11-17 09:47:00-05:00,25220.5,2025-11-17 09:59:00-05:00,25190.0,stop,-62.34,2025-11-17,wide
orb_break,short,2025-11-17 11:17:00-05:00,24969.0,2025-11-17 11:26:00-05:00,24999.5,stop,-62.34,2025-11-17,wide
orb_retest,long,2025-11-17 09:48:00-05:00,25207.5,2025-11-17 10:01:00-05:00,25177.0,stop,-62.34,2025-11-17,wide
orb_retest,short,2025-11-17 11:18:00-05:00,24965.5,2025-11-17 11:26:00-05:00,24996.0,stop,-62.34,2025-11-17,wide
inverse_orb,long,2025-11-17 11:18:00-05:00,24966.5,2025-11-17 11:27:00-05:00,25026.0,target,117.66,2025-11-17,wide
inverse_orb,short,2025-11-17 10:01:00-05:00,25190.0,2025-11-17 10:04:00-05:00,25130.5,target,117.66,2025-11-17,wide
ema_continuation,long,2025-11-17 12:22:00-05:00,25151.75,2025-11-17 12:38:00-05:00,25121.25,stop,-62.34,2025-11-17,wide
ema_continuation,short,2025-11-17 11:32:00-05:00,25102.75,2025-11-17 11:40:00-05:00,25133.25,stop,-62.34,2025-11-17,wide
orb_break,short,2025-11-18 09:48:00-05:00,24668.5,2025-11-18 09:50:00-05:00,24609.0,target,117.66,2025-11-18,normal
orb_retest,short,2025-11-18 09:49:00-05:00,24623.0,2025-11-18 09:49:00-05:00,24653.5,stop,-62.34,2025-11-18,normal
inverse_orb,long,2025-11-18 09:49:00-05:00,24624.0,2025-11-18 09:51:00-05:00,24593.5,stop,-62.34,2025-11-18,normal
ema_continuation,long,2025-11-18 13:59:00-05:00,24709.75,2025-11-18 14:14:00-05:00,24769.25,target,117.66,2025-11-18,normal
ema_continuation,short,2025-11-18 11:25:00-05:00,24615.25,2025-11-18 11:27:00-05:00,24645.75,stop,-62.34,2025-11-18,normal
orb_break,long,2025-11-19 09:46:00-05:00,24739.25,2025-11-19 09:52:00-05:00,24798.75,target,117.66,2025-11-19,normal
orb_break,short,2025-11-19 12:35:00-05:00,24552.25,2025-11-19 12:42:00-05:00,24582.75,stop,-62.34,2025-11-19,normal
orb_retest,long,2025-11-19 09:47:00-05:00,24757.5,2025-11-19 09:53:00-05:00,24817.0,target,117.66,2025-11-19,normal
orb_retest,short,2025-11-19 12:36:00-05:00,24539.75,2025-11-19 12:41:00-05:00,24570.25,stop,-62.34,2025-11-19,normal
inverse_orb,long,2025-11-19 12:42:00-05:00,24613.75,2025-11-19 12:42:00-05:00,24583.25,stop,-62.34,2025-11-19,normal
inverse_orb,short,2025-11-19 09:47:00-05:00,24756.5,2025-11-19 09:51:00-05:00,24787.0,stop,-62.34,2025-11-19,normal
ema_continuation,short,2025-11-19 13:12:00-05:00,24672.25,2025-11-19 13:27:00-05:00,24612.75,target,117.66,2025-11-19,normal
orb_break,long,2025-11-20 09:48:00-05:00,25245.5,2025-11-20 09:49:00-05:00,25215.0,stop,-62.34,2025-11-20,normal
orb_break,short,2025-11-20 11:01:00-05:00,25126.0,2025-11-20 11:09:00-05:00,25066.5,target,117.66,2025-11-20,normal
orb_retest,long,2025-11-20 09:49:00-05:00,25212.25,2025-11-20 09:56:00-05:00,25271.75,target,117.66,2025-11-20,normal
inverse_orb,short,2025-11-20 09:50:00-05:00,25236.5,2025-11-20 09:56:00-05:00,25267.0,stop,-62.34,2025-11-20,normal
ema_continuation,long,2025-11-20 11:06:00-05:00,25104.75,2025-11-20 11:07:00-05:00,25074.25,stop,-62.34,2025-11-20,normal
orb_break,long,2025-11-21 09:55:00-05:00,24260.0,2025-11-21 09:56:00-05:00,24229.5,stop,-62.34,2025-11-21,normal
orb_break,short,2025-11-21 09:46:00-05:00,24112.5,2025-11-21 09:46:00-05:00,24143.0,stop,-62.34,2025-11-21,normal
orb_retest,long,2025-11-21 09:56:00-05:00,24186.5,2025-11-21 09:56:00-05:00,24246.0,target,117.66,2025-11-21,normal
orb_retest,short,2025-11-21 09:47:00-05:00,24143.0,2025-11-21 09:47:00-05:00,24173.5,stop,-62.34,2025-11-21,normal
inverse_orb,long,2025-11-21 09:49:00-05:00,24195.0,2025-11-21 09:54:00-05:00,24254.5,target,117.66,2025-11-21,normal
inverse_orb,short,2025-11-21 09:56:00-05:00,24185.5,2025-11-21 09:56:00-05:00,24216.0,stop,-62.34,2025-11-21,normal
ema_continuation,long,2025-11-21 15:24:00-05:00,24444.5,2025-11-21 15:28:00-05:00,24414.0,stop,-62.34,2025-11-21,normal
orb_break,long,2025-11-24 10:03:00-05:00,24741.25,2025-11-24 10:08:00-05:00,24710.75,stop,-62.34,2025-11-24,wide
orb_retest,long,2025-11-24 10:09:00-05:00,24710.75,2025-11-24 10:11:00-05:00,24680.25,stop,-62.34,2025-11-24,wide
inverse_orb,short,2025-11-24 10:10:00-05:00,24705.5,2025-11-24 10:14:00-05:00,24736.0,stop,-62.34,2025-11-24,wide
ema_continuation,long,2025-11-24 14:32:00-05:00,24911.75,2025-11-24 15:53:00-05:00,24971.25,target,117.66,2025-11-24,wide
orb_break,long,2025-11-25 11:43:00-05:00,24883.5,2025-11-25 11:45:00-05:00,24853.0,stop,-62.34,2025-11-25,normal
