idea_id,direction,human_1c,max_size,setup_label,or_high_dist,or_low_dist,or_mid_dist,vwap_dist,ema9_15m_dist,ema9_5m_dist,swing_high_dist,swing_low_dist,sess_high_dist,sess_low_dist
1,long,56.66,3,pre_or_locked_trade,-154.5,63.0,-45.75,-65.1863158078122,,-185.72098095506954,,,-154.5,5.75
3,short,29.0975,4,ema_continuation_candidate,195.71875,414.46875,305.09375,295.178464318411,-3.2772950287799176,109.05138683060795,,,195.71875,414.46875
6,short,27.82666666666424,1,inverse_orb_candidate,-60.375,183.625,61.625,-15.455656103789806,-25.45678928081543,-24.400868097654893,-115.875,,-115.875,183.625
7,long,2.4599999999956346,6,discretionary_or_unclassified,-373.1749999999993,-129.17499999999927,-251.17499999999927,-261.2967883157253,-219.86892561555214,-166.4312839079903,-224.67499999999927,-131.17499999999927,-428.6749999999993,-85.92499999999927
9,long,46.45999999999563,2,discretionary_or_unclassified,-320.5499999999993,-135.29999999999927,-227.92499999999927,-166.85067643089496,-300.82115476442414,-193.06271235186068,,,-320.5499999999993,-27.299999999999272
11,short,14.445714285710128,4,discretionary_or_unclassified,159.53571428571377,345.28571428571377,252.41071428571377,185.53945520560592,183.18952447435004,161.97092610966502,,,9.535714285713766,345.28571428571377
12,long,32.32666666666424,1,orb_breakout_or_retest_candidate,-148.5,37.25,-55.625,-152.14157840090775,-95.39864528155886,-20.19070780838956,-39.0,30.0,-378.0,47.25
13,short,16.19333333333285,4,pre_or_locked_trade,-3.349999999998545,93.90000000000146,45.275000000001455,48.09321908908896,,337.12296102601977,,,-3.349999999998545,93.90000000000146
14,long,27.02250000000291,21,discretionary_or_unclassified,-500.74375000000146,-403.49375000000146,-452.11875000000146,-476.46309517015106,-348.6622174403965,-451.753565145078,-564.2437500000015,-414.49375000000146,-568.4937500000015,-325.49375000000146
16,long,10.41,1,discretionary_or_unclassified,-203.625,-76.375,-140.0,-46.61176523972972,-77.67174517941021,-2.004856352636125,-29.625,149.125,-221.875,149.125
17,short,9.595185185189766,47,discretionary_or_unclassified,203.7638888888905,331.0138888888905,267.3888888888905,370.32934453890266,357.0879553570303,363.9379326322669,282.0138888888905,493.2638888888905,185.5138888888905,556.5138888888905
19,short,1.146486486486683,31,pre_or_locked_trade,178.24324324324334,386.99324324324334,282.61824324324334,253.1597214579524,,412.6783680894223,178.24324324324334,,178.24324324324334,386.99324324324334
22,short,18.66,7,pre_or_locked_trade,-79.29999999999927,83.20000000000073,1.9500000000007276,-45.8389612760875,,-127.52434236179761,,,-79.29999999999927,-14.799999999999272
24,short,38.66,1,pre_or_locked_trade,-38.08333333333212,43.66666666666788,2.7916666666678793,,,,,,,
25,short,9.493333333335759,1,discretionary_or_unclassified,57.625,139.375,98.5,104.17400829793405,134.36728301769108,47.407867228033865,21.875,41.625,-9.875,193.875
27,short,14.604444444445253,7,pre_or_locked_trade,-12.777777777777374,79.22222222222263,33.222222222222626,19.142280148607824,,71.03295948117739,,,-12.777777777777374,56.222222222222626
30,short,21.81384615383664,9,ema_continuation_candidate,67.75,178.5,123.125,89.48562283337014,-1.4745402599946829,36.60923721409563,67.75,,2.5,178.5
31,short,44.66,1,discretionary_or_unclassified,163.25,274.0,218.625,113.43673184953514,33.35301003856512,15.763835935558745,5.75,22.0,-12.75,274.0
36,short,-0.3400000000000001,1,discretionary_or_unclassified,-134.25,28.5,-52.875,-12.203441040488542,-29.31185990754966,-31.959397028615058,-43.75,-20.0,-134.25,73.75
37,short,30.16,1,discretionary_or_unclassified,54.25,171.5,112.875,77.39945760455885,182.34941173488915,94.65563866671437,28.75,171.5,5.0,171.5
38,long,9.826666666664241,1,orb_breakout_or_retest_candidate,-42.33333333333212,74.91666666666788,16.29166666666788,-47.5694526673833,-5.5254142867233895,-62.052164572869515,-97.33333333333212,18.91666666666788,-132.33333333333212,74.91666666666788
