rule,direction,n,pnl,avg,win_rate,is_n,is_avg,is_pnl,oos_n,oos_avg,oos_pnl,scope,passes_sample_gate,passes_positive_oos,or_class
inverse_orb,long,19,255.53999999999994,13.449473684210522,0.42105263157894735,8,5.159999999999997,41.27999999999997,11,19.478181818181813,214.25999999999996,rule+direction+or_class,False,True,tight
ema_continuation,short,39,252.23999999999984,6.467692307692303,0.38461538461538464,23,7.377391304347822,169.6799999999999,16,5.159999999999997,82.55999999999995,rule+direction+or_class,False,True,normal
orb_retest,long,25,241.49999999999991,9.659999999999997,0.4,10,9.659999999999997,96.59999999999997,15,9.659999999999997,144.89999999999995,rule+direction+or_class,False,True,tight
orb_break,short,11,214.25999999999996,19.478181818181813,0.45454545454545453,9,-2.3400000000000034,-21.06000000000003,2,117.66,235.32,rule+direction+or_class,False,True,wide
ema_continuation,short,16,207.05999999999995,12.941249999999997,0.4375,13,16.467692307692303,214.07999999999996,3,-2.3400000000000034,-7.02000000000001,rule+direction+or_class,False,False,wide
inverse_orb,long,9,158.93999999999997,17.659999999999997,0.4444444444444444,7,40.517142857142844,283.6199999999999,2,-62.34,-124.68,rule+direction+or_class,False,False,wide
ema_continuation,long,27,150.82000000000002,5.585925925925927,0.4074074074074074,13,0.5446153846153812,7.079999999999956,14,10.267142857142854,143.73999999999995,rule+direction+or_class,False,True,tight
orb_retest,short,10,96.59999999999997,9.659999999999997,0.4,8,-17.340000000000003,-138.72000000000003,2,117.66,235.32,rule+direction+or_class,False,True,wide
orb_break,long,13,89.5799999999999,6.890769230769223,0.38461538461538464,10,27.65999999999999,276.5999999999999,3,-62.34,-187.02,rule+direction+or_class,False,False,wide
orb_retest,long,34,40.439999999999884,1.1894117647058788,0.35294117647058826,18,17.659999999999993,317.8799999999999,16,-17.340000000000003,-277.44000000000005,rule+direction+or_class,False,False,normal
orb_retest,long,72,11.519999999999811,0.15999999999999737,0.3472222222222222,38,8.712631578947361,331.0799999999997,34,-9.39882352941177,-319.5600000000002,rule+direction,False,False,
orb_break,short,21,-49.14000000000007,-2.3400000000000034,0.3333333333333333,10,27.659999999999997,276.59999999999997,11,-29.612727272727273,-325.74,rule+direction+or_class,False,False,tight
inverse_orb,short,24,-56.16000000000008,-2.3400000000000034,0.3333333333333333,10,-26.34000000000001,-263.4000000000001,14,14.80285714285713,207.2399999999998,rule+direction+or_class,False,True,tight
ema_continuation,short,73,-76.32000000000039,-1.0454794520547999,0.3424657534246575,47,2.2238297872340387,104.51999999999981,26,-6.95538461538462,-180.84000000000012,rule+direction,False,False,
ema_continuation,long,14,-93.76000000000005,-6.69714285714286,0.2857142857142857,11,8.478181818181815,93.25999999999996,3,-62.34,-187.02,rule+direction+or_class,False,False,wide
orb_break,long,25,-118.50000000000009,-4.740000000000004,0.32,10,9.659999999999997,96.59999999999997,15,-14.340000000000003,-215.10000000000005,rule+direction+or_class,False,False,tight
inverse_orb,long,62,-166.08000000000015,-2.6787096774193575,0.3387096774193548,36,-4.590000000000003,-165.24000000000012,26,-0.03230769230769353,-0.8400000000000318,rule+direction,False,False,
orb_break,long,38,-208.92000000000013,-5.497894736842109,0.3157894736842105,20,0.6599999999999966,13.199999999999932,18,-12.340000000000003,-222.12000000000006,rule+direction+or_class,False,False,normal
orb_break,short,70,-223.80000000000027,-3.197142857142861,0.32857142857142857,43,4.636744186046508,199.37999999999985,27,-15.67333333333334,-423.1800000000002,rule+direction,False,False,
orb_break,long,76,-237.84000000000032,-3.1294736842105304,0.32894736842105265,40,9.659999999999993,386.39999999999975,36,-17.340000000000007,-624.2400000000002,rule+direction,False,False,
orb_retest,long,13,-270.4200000000001,-20.801538461538467,0.23076923076923078,10,-8.340000000000003,-83.40000000000003,3,-62.34,-187.02,rule+direction+or_class,False,False,wide
orb_retest,short,20,-346.80000000000007,-17.340000000000003,0.25,9,-2.3400000000000034,-21.06000000000003,11,-29.612727272727273,-325.74,rule+direction+or_class,False,False,tight
inverse_orb,short,12,-388.08000000000015,-32.34000000000001,0.16666666666666666,9,-42.34,-381.06000000000006,3,-2.3400000000000034,-7.02000000000001,rule+direction+or_class,False,False,wide
orb_break,short,38,-388.9200000000003,-10.23473684210527,0.2894736842105263,24,-2.3400000000000034,-56.16000000000008,14,-23.768571428571438,-332.7600000000001,rule+direction+or_class,False,False,normal
inverse_orb,short,34,-499.5600000000002,-14.692941176470594,0.2647058823529412,18,-12.340000000000005,-222.1200000000001,16,-17.340000000000003,-277.44000000000005,rule+direction+or_class,False,False,normal
ema_continuation,short,18,-535.6200000000001,-29.756666666666675,0.16666666666666666,11,-25.385454545454547,-279.24,7,-36.62571428571429,-256.38,rule+direction+or_class,False,False,tight
inverse_orb,long,34,-580.5600000000002,-17.075294117647065,0.2647058823529412,21,-23.340000000000003,-490.1400000000001,13,-6.955384615384618,-90.42000000000004,rule+direction+or_class,False,False,normal
inverse_orb,short,70,-943.8000000000005,-13.482857142857151,0.2714285714285714,37,-23.421081081081084,-866.5800000000002,33,-2.3400000000000034,-77.22000000000011,rule+direction,False,False,
orb_retest,short,36,-984.2400000000002,-27.340000000000007,0.19444444444444445,22,-37.794545454545464,-831.4800000000002,14,-10.911428571428575,-152.76000000000005,rule+direction+or_class,False,False,normal
