rule_id,family,direction
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=11:00|max_risk_points=120|min_reward_points=8|min_slope=0|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=0|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long
ema_pullback|long|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=fixed|stop_points=30|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long
ema_pullback|short|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=0|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,short
ema_pullback|short|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,short
ema_pullback|long|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rsi_threshold=50|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,ema_pullback,long
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,ema_pullback,long
ema_pullback|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=0|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=fixed|stop_points=30|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,short
ema_pullback|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=fixed|stop_points=30|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,short
ema_pullback|long|buffer_points=8|confirm_pattern=simple|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long
ema_pullback|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rsi_threshold=50|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,ema_pullback,short
ema_pullback|long|buffer_points=8|confirm_pattern=simple|end=11:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long
ema_pullback|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=0|rsi_threshold=50|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,ema_pullback,short
ema_pullback|short|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=0|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,ema_pullback,short
ema_pullback|short|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,ema_pullback,short
ema_pullback|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|min_reward_points=8|min_slope=0|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=fixed|stop_points=30|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long
fade|short|buffer_points=0|ema_ext=20|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rsi_mode=not_bear|start=10:00|stop_mode=fixed|stop_points=30|target_mode=or_mid|time_exit=12:00|vwap_ext=20,fade_extreme,short
fade|long|buffer_points=0|ema_ext=10|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=green_close|rsi_mode=not_bull|start=10:00|stop_mode=fixed|stop_points=30|target_mode=vwap|time_exit=12:00|vwap_ext=10,fade_extreme,long
