rule_id,family,direction,date,or_class,or_size,signal_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,net_pnl,scope
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long,2023-12-19,normal,50.0,2023-12-19 09:47:00-05:00,2023-12-19 09:48:00-05:00,17191.5,2023-12-19 12:00:00-05:00,17190.5,time_exit,-3.34,full_history
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long,2024-01-11,normal,65.75,2024-01-11 09:51:00-05:00,2024-01-11 09:52:00-05:00,17158.5,2024-01-11 10:03:00-05:00,17128.25,stop,-61.84,full_history
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long,2024-01-12,normal,58.0,2024-01-12 10:03:00-05:00,2024-01-12 10:04:00-05:00,17177.5,2024-01-12 10:18:00-05:00,17154.25,stop,-47.84,full_history
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long,2024-01-22,wide,89.75,2024-01-22 10:33:00-05:00,2024-01-22 10:34:00-05:00,17704.5,2024-01-22 10:45:00-05:00,17684.0,stop,-42.34,full_history
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long,2024-02-15,normal,63.5,2024-02-15 11:59:00-05:00,2024-02-15 12:00:00-05:00,18071.5,2024-02-15 12:00:00-05:00,18070.5,time_exit,-3.34,full_history
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long,2024-02-23,tight,44.75,2024-02-23 09:59:00-05:00,2024-02-23 10:00:00-05:00,18323.0,2024-02-23 10:01:00-05:00,18295.25,stop,-56.84,full_history
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long,2024-02-26,normal,56.0,2024-02-26 11:09:00-05:00,2024-02-26 11:10:00-05:00,18251.0,2024-02-26 11:47:00-05:00,18285.0,target,66.66,full_history
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long,2024-02-29,tight,43.0,2024-02-29 11:03:00-05:00,2024-02-29 11:04:00-05:00,18231.75,2024-02-29 11:30:00-05:00,18206.25,stop,-52.34,full_history
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long,2024-03-04,normal,45.0,2024-03-04 10:56:00-05:00,2024-03-04 10:57:00-05:00,18566.25,2024-03-04 11:06:00-05:00,18550.25,stop,-33.34,full_history
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long,2024-03-08,normal,64.75,2024-03-08 10:47:00-05:00,2024-03-08 10:48:00-05:00,18625.25,2024-03-08 10:50:00-05:00,18605.25,stop,-41.34,full_history
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long,2024-03-18,normal,69.25,2024-03-18 11:36:00-04:00,2024-03-18 11:37:00-04:00,18307.75,2024-03-18 11:52:00-04:00,18286.0,stop,-44.84,full_history
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long,2024-03-20,wide,85.75,2024-03-20 11:40:00-04:00,2024-03-20 11:41:00-04:00,18276.25,2024-03-20 11:45:00-04:00,18262.25,stop,-29.34,full_history
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long,2024-03-26,tight,44.75,2024-03-26 11:18:00-04:00,2024-03-26 11:19:00-04:00,18572.25,2024-03-26 11:49:00-04:00,18554.75,stop,-36.34,full_history
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long,2024-03-28,tight,52.5,2024-03-28 10:24:00-04:00,2024-03-28 10:25:00-04:00,18487.0,2024-03-28 10:36:00-04:00,18510.125,target,44.91,full_history
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long,2024-04-01,wide,123.25,2024-04-01 10:23:00-04:00,2024-04-01 10:24:00-04:00,18535.75,2024-04-01 10:33:00-04:00,18517.25,stop,-38.34,full_history
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long,2024-04-03,tight,44.5,2024-04-03 11:57:00-04:00,2024-04-03 11:58:00-04:00,18407.75,2024-04-03 12:00:00-04:00,18393.0,stop,-30.84,full_history
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long,2024-04-08,wide,99.25,2024-04-08 11:29:00-04:00,2024-04-08 11:30:00-04:00,18336.0,2024-04-08 11:30:00-04:00,18323.5,stop,-26.34,full_history
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long,2024-04-15,normal,78.0,2024-04-15 10:13:00-04:00,2024-04-15 10:14:00-04:00,18232.75,2024-04-15 10:21:00-04:00,18208.0,stop,-50.84,full_history
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long,2024-04-24,normal,74.0,2024-04-24 10:58:00-04:00,2024-04-24 10:59:00-04:00,17698.25,2024-04-24 11:03:00-04:00,17678.0,stop,-41.84,full_history
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long,2024-04-29,wide,117.25,2024-04-29 10:40:00-04:00,2024-04-29 10:41:00-04:00,17886.5,2024-04-29 11:05:00-04:00,17867.75,stop,-38.84,full_history
ema_pullback|long|buffer_points=8|confirm_pattern=break_prev|end=12:00|max_risk_points=120|min_reward_points=8|min_slope=2|rr=1.5|rsi_threshold=50|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|touch_tolerance=5,ema_pullback,long,2024-05-10,normal,75.0,2024-05-10 10:22:00-04:00,2024-05-10 10:23:00-04:00,18257.75,2024-05-10 10:27:00-04:00,18242.0,stop,-32.84,full_history
