rule_id,family,direction,date,or_class,or_size,signal_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,net_pnl,scope
fade|short|buffer_points=8|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rr=1.5|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|vwap_ext=0,fade_extreme,short,2025-11-14,wide,218.75,2025-11-14 10:30:00-05:00,2025-11-14 10:31:00-05:00,25006.25,2025-11-14 10:36:00-05:00,25035.75,stop,-60.34,human_window
fade|short|buffer_points=8|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rr=1.5|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|vwap_ext=0,fade_extreme,short,2025-11-17,wide,244.0,2025-11-17 09:48:00-05:00,2025-11-17 09:49:00-05:00,25207.0,2025-11-17 09:50:00-05:00,25230.0,stop,-47.34,human_window
fade|short|buffer_points=8|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rr=1.5|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|vwap_ext=0,fade_extreme,short,2025-11-19,normal,185.75,2025-11-19 09:46:00-05:00,2025-11-19 09:47:00-05:00,24738.5,2025-11-19 09:49:00-05:00,24772.5,stop,-69.34,human_window
fade|short|buffer_points=8|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rr=1.5|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|vwap_ext=0,fade_extreme,short,2025-11-20,normal,97.25,2025-11-20 09:45:00-05:00,2025-11-20 09:46:00-05:00,25195.0,2025-11-20 09:47:00-05:00,25229.25,stop,-69.84,human_window
fade|short|buffer_points=8|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rr=1.5|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|vwap_ext=0,fade_extreme,short,2025-11-24,wide,208.75,2025-11-24 09:48:00-05:00,2025-11-24 09:49:00-05:00,24668.5,2025-11-24 09:49:00-05:00,24624.75,target,86.16,human_window
fade|short|buffer_points=8|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rr=1.5|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|vwap_ext=0,fade_extreme,short,2025-11-25,normal,162.5,2025-11-25 10:47:00-05:00,2025-11-25 10:48:00-05:00,24860.0,2025-11-25 10:49:00-05:00,24830.5,target,57.66,human_window
fade|short|buffer_points=8|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rr=1.5|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|vwap_ext=0,fade_extreme,short,2025-11-26,tight,81.75,2025-11-26 09:48:00-05:00,2025-11-26 09:49:00-05:00,25252.25,2025-11-26 09:50:00-05:00,25271.75,stop,-40.34,human_window
fade|short|buffer_points=8|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rr=1.5|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|vwap_ext=0,fade_extreme,short,2025-11-28,tight,92.0,2025-11-28 09:50:00-05:00,2025-11-28 09:51:00-05:00,25391.75,2025-11-28 09:52:00-05:00,25369.375,target,43.41,human_window
fade|short|buffer_points=8|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rr=1.5|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|vwap_ext=0,fade_extreme,short,2025-12-01,normal,110.75,2025-12-01 10:53:00-05:00,2025-12-01 10:54:00-05:00,25401.75,2025-12-01 10:57:00-05:00,25417.25,stop,-32.34,human_window
fade|short|buffer_points=8|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rr=1.5|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|vwap_ext=0,fade_extreme,short,2025-12-02,normal,141.75,2025-12-02 09:46:00-05:00,2025-12-02 09:47:00-05:00,25579.25,2025-12-02 10:00:00-05:00,25612.75,stop,-68.34,human_window
fade|short|buffer_points=8|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rr=1.5|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|vwap_ext=0,fade_extreme,short,2025-12-03,tight,86.5,2025-12-03 10:37:00-05:00,2025-12-03 10:38:00-05:00,25591.25,2025-12-03 10:38:00-05:00,25565.125,target,50.91,human_window
fade|short|buffer_points=8|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rr=1.5|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|vwap_ext=0,fade_extreme,short,2025-12-04,normal,162.75,2025-12-04 10:40:00-05:00,2025-12-04 10:41:00-05:00,25624.75,2025-12-04 10:42:00-05:00,25638.25,stop,-28.34,human_window
fade|short|buffer_points=8|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rr=1.5|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|vwap_ext=0,fade_extreme,short,2025-12-05,normal,117.25,2025-12-05 09:47:00-05:00,2025-12-05 09:48:00-05:00,25737.25,2025-12-05 09:49:00-05:00,25752.5,stop,-31.84,human_window
fade|short|buffer_points=8|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rr=1.5|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|vwap_ext=0,fade_extreme,short,2025-12-09,tight,93.25,2025-12-09 10:01:00-05:00,2025-12-09 10:02:00-05:00,25628.25,2025-12-09 10:02:00-05:00,25650.25,stop,-45.34,human_window
fade|short|buffer_points=8|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rr=1.5|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|vwap_ext=0,fade_extreme,short,2025-12-16,normal,140.5,2025-12-16 10:01:00-05:00,2025-12-16 10:02:00-05:00,25139.5,2025-12-16 10:02:00-05:00,25102.5,target,72.66,human_window
fade|short|buffer_points=8|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rr=1.5|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|vwap_ext=0,fade_extreme,short,2025-12-17,normal,146.25,2025-12-17 09:59:00-05:00,2025-12-17 10:00:00-05:00,25098.25,2025-12-17 10:00:00-05:00,25069.5,target,56.16,human_window
fade|short|buffer_points=8|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rr=1.5|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|vwap_ext=0,fade_extreme,short,2025-12-18,wide,155.75,2025-12-18 09:56:00-05:00,2025-12-18 09:57:00-05:00,25018.75,2025-12-18 09:57:00-05:00,25038.75,stop,-41.34,human_window
fade|short|buffer_points=8|ema_ext=0|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=red_close|rr=1.5|rsi_mode=not_bear|start=09:45|stop_mode=signal_extreme|target_mode=rr|time_exit=12:00|vwap_ext=0,fade_extreme,short,2025-12-22,normal,124.0,2025-12-22 09:49:00-05:00,2025-12-22 09:50:00-05:00,25717.25,2025-12-22 09:51:00-05:00,25739.25,stop,-45.34,human_window
