rule_id,family,direction,date,or_class,or_size,signal_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,net_pnl,scope
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2023-12-19,normal,50.0,2023-12-19 10:38:00-05:00,2023-12-19 10:39:00-05:00,17201.5,2023-12-19 10:39:00-05:00,17188.5,stop,-27.34,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-01-03,normal,56.0,2024-01-03 10:05:00-05:00,2024-01-03 10:06:00-05:00,16853.25,2024-01-03 10:07:00-05:00,16838.75,stop,-30.34,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-01-18,tight,54.0,2024-01-18 10:59:00-05:00,2024-01-18 11:00:00-05:00,17267.75,2024-01-18 11:00:00-05:00,17253.75,stop,-29.34,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-01-19,tight,40.25,2024-01-19 10:03:00-05:00,2024-01-19 10:04:00-05:00,17436.25,2024-01-19 10:05:00-05:00,17425.6875,stop,-22.465,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-02-07,tight,47.25,2024-02-07 10:12:00-05:00,2024-02-07 10:13:00-05:00,18005.5,2024-02-07 10:23:00-05:00,18050.0,target,87.66,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-02-12,tight,43.5,2024-02-12 10:36:00-05:00,2024-02-12 10:37:00-05:00,18283.25,2024-02-12 11:27:00-05:00,18327.75,target,87.66,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-02-13,normal,76.0,2024-02-13 10:01:00-05:00,2024-02-13 10:02:00-05:00,17901.0,2024-02-13 10:04:00-05:00,17881.5,stop,-40.34,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-02-21,normal,57.25,2024-02-21 10:16:00-05:00,2024-02-21 10:17:00-05:00,17741.5,2024-02-21 10:20:00-05:00,17726.6875,stop,-30.965,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-02-22,normal,54.0,2024-02-22 10:00:00-05:00,2024-02-22 10:01:00-05:00,18157.75,2024-02-22 10:03:00-05:00,18143.75,stop,-29.34,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-03-01,normal,45.25,2024-03-01 10:05:00-05:00,2024-03-01 10:06:00-05:00,18393.75,2024-03-01 10:15:00-05:00,18438.25,target,87.66,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-03-07,normal,62.25,2024-03-07 10:20:00-05:00,2024-03-07 10:21:00-05:00,18474.5,2024-03-07 10:24:00-05:00,18458.4375,stop,-33.465,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-03-18,normal,69.25,2024-03-18 10:12:00-04:00,2024-03-18 10:13:00-04:00,18355.0,2024-03-18 10:14:00-04:00,18337.1875,stop,-36.965,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-03-22,tight,42.25,2024-03-22 10:04:00-04:00,2024-03-22 10:05:00-04:00,18558.0,2024-03-22 10:08:00-04:00,18546.9375,stop,-23.465,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-03-25,normal,65.5,2024-03-25 10:08:00-04:00,2024-03-25 10:09:00-04:00,18495.5,2024-03-25 10:21:00-04:00,18540.0,target,87.66,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-03-26,tight,44.75,2024-03-26 10:18:00-04:00,2024-03-26 10:19:00-04:00,18601.5,2024-03-26 10:21:00-04:00,18589.8125,stop,-24.715,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-03-28,tight,52.5,2024-03-28 10:00:00-04:00,2024-03-28 10:01:00-04:00,18525.5,2024-03-28 10:07:00-04:00,18511.875,stop,-28.59,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-04-05,normal,79.75,2024-04-05 10:09:00-04:00,2024-04-05 10:10:00-04:00,18210.75,2024-04-05 10:27:00-04:00,18190.3125,stop,-42.215,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-04-10,normal,77.25,2024-04-10 10:33:00-04:00,2024-04-10 10:34:00-04:00,18208.75,2024-04-10 10:35:00-04:00,18188.9375,stop,-40.965,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-04-16,normal,53.0,2024-04-16 10:02:00-04:00,2024-04-16 10:03:00-04:00,17898.75,2024-04-16 10:03:00-04:00,17885.0,stop,-28.84,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-04-22,tight,43.5,2024-04-22 10:01:00-04:00,2024-04-22 10:02:00-04:00,17308.5,2024-04-22 10:02:00-04:00,17297.125,stop,-24.09,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-04-25,normal,67.75,2024-04-25 10:10:00-04:00,2024-04-25 10:11:00-04:00,17385.0,2024-04-25 10:18:00-04:00,17429.5,target,87.66,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-05-03,normal,58.5,2024-05-03 10:44:00-04:00,2024-05-03 10:45:00-04:00,17983.5,2024-05-03 10:50:00-04:00,17968.375,stop,-31.59,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=not_wide|or_stop_fraction=0.25|start=10:00|stop_mode=or_fraction|target_mode=fixed|target_points=45|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-05-06,normal,58.5,2024-05-06 10:05:00-04:00,2024-05-06 10:06:00-04:00,18104.5,2024-05-06 10:11:00-04:00,18089.375,stop,-31.59,full_history
