rule_id,family,direction,date,or_class,or_size,signal_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,net_pnl,scope,slippage_rt,variant
base_vwap65|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2023-12-19,normal,50.0,2023-12-19 10:38:00-05:00,2023-12-19 10:39:00-05:00,17201.5,2023-12-19 15:55:00-05:00,17227.5,time_exit,50.66,full_history,1.0,base_vwap65
base_vwap65|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-01-03,normal,56.0,2024-01-03 10:05:00-05:00,2024-01-03 10:06:00-05:00,16853.25,2024-01-03 10:10:00-05:00,16812.75,stop,-82.34,full_history,1.0,base_vwap65
base_vwap65|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-02-13,normal,76.0,2024-02-13 10:01:00-05:00,2024-02-13 10:02:00-05:00,17901.0,2024-02-13 10:26:00-05:00,17950.5,target,97.66,full_history,1.0,base_vwap65
base_vwap65|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-02-21,normal,57.25,2024-02-21 10:16:00-05:00,2024-02-21 10:17:00-05:00,17741.5,2024-02-21 10:30:00-05:00,17701.0,stop,-82.34,full_history,1.0,base_vwap65
base_vwap65|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-02-22,normal,54.0,2024-02-22 10:00:00-05:00,2024-02-22 10:01:00-05:00,18157.75,2024-02-22 10:35:00-05:00,18207.25,target,97.66,full_history,1.0,base_vwap65
base_vwap65|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-03-01,normal,45.25,2024-03-01 10:05:00-05:00,2024-03-01 10:06:00-05:00,18393.75,2024-03-01 10:56:00-05:00,18443.25,target,97.66,full_history,1.0,base_vwap65
base_vwap65|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-03-07,normal,62.25,2024-03-07 10:20:00-05:00,2024-03-07 10:21:00-05:00,18474.5,2024-03-07 10:48:00-05:00,18524.0,target,97.66,full_history,1.0,base_vwap65
base_vwap65|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-03-18,normal,69.25,2024-03-18 10:12:00-04:00,2024-03-18 10:13:00-04:00,18355.0,2024-03-18 11:14:00-04:00,18314.5,stop,-82.34,full_history,1.0,base_vwap65
base_vwap65|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-03-25,normal,65.5,2024-03-25 10:08:00-04:00,2024-03-25 10:09:00-04:00,18495.5,2024-03-25 11:40:00-04:00,18545.0,target,97.66,full_history,1.0,base_vwap65
base_vwap65|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-04-05,normal,79.75,2024-04-05 10:09:00-04:00,2024-04-05 10:10:00-04:00,18210.75,2024-04-05 10:49:00-04:00,18260.25,target,97.66,full_history,1.0,base_vwap65
