filter,trades,pnl,avg,win_rate,pf,max_dd,is_avg,oos_avg,kept_bad_bucket,bad_bucket_pnl,win_rate_delta,pnl_delta,trade_loss,score
prior_day_dir == flat,1,93.66,93.66,1.0,inf,0.0,93.66,,1,93.66,0.3894736842105263,-2093.039999999999,94,inf
signal_minute >= 620,28,1311.4800000000005,46.83857142857145,0.75,3.1699592971309443,-172.68,34.2225,63.65999999999999,5,288.29999999999995,0.1394736842105263,-875.2199999999984,67,23.086716940022054
signal_vol_ratio<=2.25 AND signal_minute>=610,43,1996.3799999999999,46.427441860465116,0.7441860465116279,3.1020279234316757,-172.67999999999995,41.22,53.66,7,115.61999999999998,0.1336597307221542,-190.31999999999903,52,22.274551765877867
signal_vol_ratio<=2.5 AND signal_minute>=610,49,2018.3399999999997,41.190612244897956,0.7142857142857143,2.669760746550183,-172.67999999999984,36.0393103448276,48.65999999999999,8,29.279999999999973,0.1037593984962406,-168.35999999999922,46,16.659499697322328
signal_minute>=610 AND or_close_pos>=0.4,41,1629.0599999999997,39.73317073170731,0.7073170731707317,2.5723303219828577,-172.68,31.535,51.30705882352941,7,115.62,0.09679075738125797,-557.6399999999992,54,15.249739311668378
signal_rsi>=50 AND signal_minute>=610,34,1333.44,39.218823529411765,0.7058823529411765,2.544405837387074,-172.68000000000004,37.10999999999999,42.23142857142856,5,-71.70000000000002,0.09535603715170282,-853.2599999999989,61,14.84521014550439
signal_minute >= 610,54,1946.64,36.04888888888889,0.6851851851851852,2.3262478028042346,-172.68000000000006,35.81625,36.387272727272716,9,-57.06000000000003,0.07465886939571154,-240.0599999999988,41,11.567709732938775
signal_minute>=610 AND rth_ret_sig<=1.0,54,1946.64,36.04888888888889,0.6851851851851852,2.3262478028042346,-172.68000000000006,35.81625,36.387272727272716,9,-57.06000000000003,0.07465886939571154,-240.0599999999988,41,11.567709732938775
close_above_ema == False,22,800.5199999999998,36.387272727272716,0.6818181818181818,2.3245309242529535,-172.68000000000006,38.2753846153846,33.66,3,-259.02,0.07129186602870807,-1386.1799999999992,73,10.936263387320405
signal_minute>=610 AND signal_ema_slope<=30,47,1651.0200000000002,35.12808510638298,0.6808510638297872,2.274820477183229,-259.0200000000001,33.981428571428566,36.8178947368421,7,-64.38000000000002,0.07032474804031352,-535.6799999999987,48,10.715080591043353
signal_vol_ratio<=2.5 AND or_close_pos>=0.4,62,2155.9199999999996,34.772903225806445,0.6774193548387096,2.2485059068797777,-330.72000000000025,29.038378378378386,43.26000000000001,8,29.279999999999973,0.06689303904923594,-30.77999999999929,33,10.354818652360686
signal_vol_ratio <= 2.0,55,1860.3000000000002,33.82363636363637,0.6727272727272727,2.1970118137595547,-259.0200000000001,26.659999999999997,44.569090909090896,8,29.279999999999973,0.062200956937799035,-326.3999999999987,40,9.463213289398873
close_above_vwap == False,3,100.97999999999999,33.66,0.6666666666666666,2.169562195969423,0.0,-86.34,93.66,0,0.0,0.056140350877192935,-2085.719999999999,92,8.183540958023967
signal_ema_slope <= 20,66,2170.559999999999,32.887272727272716,0.6666666666666666,2.142712742434772,-259.0200000000001,32.35230769230769,33.66,10,-323.4000000000001,0.056140350877192935,-16.139999999999873,29,8.602020963077985
signal_vol_ratio<=2.25 AND or_close_pos>=0.4,57,1867.6200000000001,32.765263157894736,0.6666666666666666,2.138473355034563,-330.72000000000025,33.924705882352946,31.051304347826076,8,29.279999999999973,0.056140350877192935,-319.0799999999988,38,8.478623069139141
signal_ema_delta <= 70,56,1773.9599999999996,31.677857142857135,0.6607142857142857,2.081379613035368,-345.3600000000001,32.11454545454546,31.051304347826076,8,-150.72000000000003,0.050187969924812004,-412.7399999999993,39,7.479175662401313
signal_ema_delta <= 50,50,1572.0,31.44,0.66,2.0710051915137146,-259.0200000000001,31.95999999999999,30.65999999999999,8,-150.72000000000003,0.049473684210526336,-614.6999999999989,45,7.272089269078767
signal_ema_slope <= 10,47,1471.0200000000002,31.29829787234043,0.6595744680851063,2.064845378735232,-259.0200000000001,27.552857142857142,36.8178947368421,8,-150.72000000000003,0.04904815229563264,-715.6799999999987,48,7.154566800931027
signal_rsi<=70 AND signal_minute>=610,44,1370.04,31.137272727272727,0.6590909090909091,2.0578642575862864,-251.70000000000005,22.467692307692303,43.66,9,-57.06000000000003,0.048564593301435366,-816.659999999999,51,7.025202781259801
or_close_pos>=0.4 AND signal_ema_slope<=30,61,1882.26,30.85672131147541,0.6557377049180327,2.0381217115060064,-510.72000000000025,27.243333333333325,36.06,8,-150.72000000000003,0.04521138912855904,-304.4399999999989,34,6.733114491991038
breakout_minute >= 600,26,764.16,29.39076923076923,0.6538461538461539,1.9833989653308624,-259.0200000000001,42.259999999999984,11.841818181818178,4,-345.36,0.04331983805668016,-1422.539999999999,69,5.773750445856811
signal_vwap_delta <= 35,49,1478.34,30.17020408163265,0.6530612244897959,2.0071945386910843,-259.0200000000001,29.83241379310344,30.65999999999999,6,-158.04,0.04253490870032217,-708.359999999999,46,6.122178862108464
signal_vol_ratio <= 2.25,72,2192.5199999999995,30.45166666666666,0.6527777777777778,2.0157609451007636,-259.01999999999975,33.869302325581394,25.38413793103448,9,-57.06000000000003,0.042251461988304095,5.8200000000006185,23,6.394812481458453
signal_vol_ratio<=2.5 AND signal_vol_ratio<=2.25,72,2192.5199999999995,30.45166666666666,0.6527777777777778,2.0157609451007636,-259.01999999999975,33.869302325581394,25.38413793103448,9,-57.06000000000003,0.042251461988304095,5.8200000000006185,23,6.394812481458453
signal_vol_ratio<=2.25 AND rth_ret_sig<=1.0,72,2192.5199999999995,30.45166666666666,0.6527777777777778,2.0157609451007636,-259.01999999999975,33.869302325581394,25.38413793103448,9,-57.06000000000003,0.042251461988304095,5.8200000000006185,23,6.394812481458453
signal_vol_ratio <= 2.5,80,2401.7999999999993,30.02249999999999,0.65,1.9934974684800943,-338.0399999999995,28.847499999999997,31.784999999999997,10,-143.40000000000003,0.03947368421052633,215.10000000000036,15,6.042800653910663
signal_vol_ratio<=2.5 AND rth_ret_sig<=1.0,80,2401.7999999999993,30.02249999999999,0.65,1.9934974684800943,-338.0399999999995,28.847499999999997,31.784999999999997,10,-143.40000000000003,0.03947368421052633,215.10000000000036,15,6.042800653910663
signal_vol_ratio<=2.5 AND signal_rsi<=70,62,1795.92,28.966451612903228,0.6451612903225806,1.9454798155284607,-409.74000000000035,24.173513513513505,36.06,10,-143.40000000000003,0.03463497453310693,-390.77999999999884,33,5.033236582700879
signal_minute>=610 AND signal_vwap_delta<=50,45,1283.7000000000003,28.526666666666674,0.6444444444444445,1.9292477414871434,-345.36,25.104444444444443,33.66,8,29.279999999999973,0.03391812865497079,-902.9999999999986,50,4.666413130057023
signal_vol_ratio<=2.25 AND signal_rsi>=50,45,1283.7,28.526666666666667,0.6444444444444445,1.9292477414871434,-244.38000000000022,31.771111111111107,23.659999999999993,3,100.97999999999999,0.03391812865497079,-902.9999999999989,50,4.666413130057022
signal_vol_ratio<=2.5 AND signal_ema_slope<=30,70,2005.2,28.645714285714288,0.6428571428571429,1.928978457261987,-424.3799999999994,36.731428571428566,16.51714285714285,9,-237.06000000000003,0.03233082706766921,-181.49999999999886,25,4.768241312105845
signal_ema_delta <= 90,67,1904.2199999999998,28.421194029850742,0.6417910447761194,1.918954134815844,-431.70000000000016,29.384999999999998,26.993333333333332,11,-409.7400000000001,0.03126472898664567,-282.4799999999991,28,4.559057866186421
signal_vol_ratio<=2.25 AND signal_rsi<=70,55,1500.3000000000004,27.278181818181825,0.6363636363636364,1.8688325225851286,-409.74000000000035,21.20545454545454,36.387272727272716,9,-57.06000000000003,0.02583732057416266,-686.3999999999985,40,3.5314077426176507
or_close_pos >= 0.4,74,2019.8399999999995,27.295135135135126,0.6351351351351351,1.866445319537744,-589.7400000000004,27.04636363636363,27.659999999999993,13,-222.42000000000016,0.024608819345661392,-166.85999999999945,21,3.5883169362259313
or_close_pos>=0.4 AND rth_ret_sig<=1.0,74,2019.8399999999995,27.295135135135126,0.6351351351351351,1.866445319537744,-589.7400000000004,27.04636363636363,27.659999999999993,13,-222.42000000000016,0.024608819345661392,-166.85999999999945,21,3.5883169362259313
signal_vol_ratio<=2.25 AND signal_ema_slope<=30,63,1709.5800000000004,27.13619047619048,0.6349206349206349,1.8608937365924407,-338.0399999999995,29.038378378378376,24.429230769230767,8,-150.72000000000003,0.02439431913116119,-477.1199999999985,32,3.413214534154931
or_close_pos <= 0.7,49,1349.34,27.537551020408163,0.6326530612244898,1.8682341131958917,-345.3599999999997,37.79793103448278,12.659999999999993,9,-417.06000000000006,0.022126745435016137,-837.359999999999,46,3.123295101979448
signal_vol_ratio<=2.5 AND signal_rsi>=50,49,1298.34,26.49673469387755,0.6326530612244898,1.8354181144313175,-244.38000000000022,29.832413793103445,21.659999999999997,4,14.639999999999986,0.022126745435016137,-888.359999999999,46,2.8551334755035156
prior_day_dir == up,46,1197.3599999999997,26.029565217391298,0.6304347826086957,1.8157625802231938,-345.3600000000001,31.771111111111107,17.870526315789473,9,-57.06000000000003,0.01990846681922198,-989.3399999999992,49,2.4583109952348563
or_green == True,63,1529.5800000000002,24.27904761904762,0.6190476190476191,1.7381572851517253,-510.72000000000014,24.173513513513505,24.429230769230763,11,-49.74000000000004,0.008521303258145374,-657.1199999999988,32,0.9265164039354854
signal_rsi<=70 AND or_close_pos>=0.4,55,1320.3000000000002,24.005454545454548,0.6181818181818182,1.728184254938946,-683.4000000000001,10.296363636363633,44.569090909090896,12,-316.08000000000015,0.007655502392344471,-866.3999999999987,40,0.6827118589321909
signal_ext_above_or <= 40,94,2273.039999999998,24.18127659574466,0.6170212765957447,1.731294880704192,-417.05999999999926,28.46357142857143,17.870526315789466,17,-567.7800000000001,0.0064949608062709885,86.33999999999924,1,0.9897930341800839
signal_ext_above_or <= 25,91,2172.0599999999986,23.868791208791194,0.6153846153846154,1.7187729574108999,-338.0399999999995,26.0488888888889,20.68702702702702,15,-575.1000000000003,0.004858299595141724,-14.640000000000327,4,0.7022687579053506
signal_ema_slope <= 30,78,1854.48,23.775384615384617,0.6153846153846154,1.7159601575167933,-424.3800000000002,29.942608695652176,14.909999999999997,11,-409.7400000000001,0.004858299595141724,-332.2199999999989,17,0.5488640990941602
rth_ret_sig<=1.0 AND signal_ema_slope<=30,78,1854.48,23.775384615384617,0.6153846153846154,1.7159601575167933,-424.3800000000002,29.942608695652176,14.909999999999997,11,-409.7400000000001,0.004858299595141724,-332.2199999999989,17,0.5488640990941602
signal_vol_ratio<=2.25 AND signal_vwap_delta<=50,65,1536.8999999999996,23.644615384615378,0.6153846153846154,1.712022237665045,-431.70000000000016,27.73692307692307,17.506153846153843,9,-57.06000000000003,0.004858299595141724,-649.7999999999993,30,0.38609757675849427
signal_vol_ratio<=2.5 AND signal_vwap_delta<=50,70,1645.2,23.502857142857142,0.6142857142857143,1.7057370087251944,-431.70000000000016,28.159999999999997,16.517142857142858,9,-57.06000000000003,0.003759398496240629,-541.4999999999989,25,0.2806054979933087
signal_ext_above_or >= 5,57,1378.6199999999997,24.186315789473678,0.6140350877192983,1.725788110430223,-395.1,24.83647058823529,23.22521739130434,7,-64.38000000000002,0.0035087719298245723,-808.0799999999992,38,0.2941442145384999
or_close_pos>=0.4 AND signal_vwap_delta<=50,67,1544.22,23.048059701492537,0.6119402985074627,1.6878975784465704,-777.0600000000002,20.384999999999994,26.993333333333332,12,-136.0800000000001,0.001413982717988982,-642.4799999999989,28,-0.11861297536143653
prior_day_zombie == True,36,800.7599999999998,22.243333333333325,0.6111111111111112,1.6624640127072376,-496.0800000000004,39.802857142857135,-2.3400000000000034,4,-165.35999999999999,0.0005847953216374657,-1385.9399999999991,59,-0.7191721805091731
BASE,95,2186.699999999999,23.017894736842095,0.6105263157894737,1.6845031271716462,-417.0600000000003,26.449473684210528,17.870526315789466,17,-567.7800000000001,0.0,0.0,0,0.0
rth_ret_sig <= 0.75,95,2186.699999999999,23.017894736842095,0.6105263157894737,1.6845031271716462,-417.0600000000003,26.449473684210528,17.870526315789466,17,-567.7800000000001,0.0,0.0,0,0.0
rth_ret_sig <= 1.0,95,2186.699999999999,23.017894736842095,0.6105263157894737,1.6845031271716462,-417.0600000000003,26.449473684210528,17.870526315789466,17,-567.7800000000001,0.0,0.0,0,0.0
signal_vwap_delta <= 65,95,2186.699999999999,23.017894736842095,0.6105263157894737,1.6845031271716462,-417.0600000000003,26.449473684210528,17.870526315789466,17,-567.7800000000001,0.0,0.0,0,0.0
prior_day_zombie == False,59,1385.94,23.490508474576274,0.6101694915254238,1.6979182403238966,-316.0800000000004,16.51714285714285,33.66,13,-402.4200000000002,-0.0003568242640499264,-800.7599999999989,36,-0.2813454868703227
