date,net_pnl,exit_reason,rth_direction,rth_move_points,post_entry_direction,post_entry_move_points,or_direction,or_move_points,close_vs_or_mid,prior_day_direction,prior_day_zombie,or_percentile,or_size
2023-12-19,42.66,time_exit,up,78.0,up,34.5,up,40.5,above,up,True,50.0,50.0
2024-01-03,-86.34,stop,down,-65.25,down,-115.25,up,39.0,below,down,False,50.0,56.0
2024-02-13,93.66,target,up,61.5,up,13.75,up,19.75,above,down,False,75.0,76.0
2024-02-21,-86.34,stop,up,59.0,up,26.5,down,-11.0,above,down,False,35.0,57.25
2024-02-22,93.66,target,up,149.0,up,125.25,down,-2.75,above,up,False,30.0,54.0
2024-03-01,93.66,target,up,240.25,up,186.0,up,32.75,above,up,False,30.0,45.25
2024-03-07,93.66,target,up,132.25,up,84.0,down,-19.25,above,down,False,65.0,62.25
2024-03-18,-86.34,stop,down,-55.75,down,-128.25,up,46.25,below,down,False,70.0,69.25
2024-03-25,93.66,target,up,51.0,up,12.25,down,-35.5,above,up,False,60.0,65.5
2024-04-05,93.66,target,up,155.0,up,81.25,up,30.75,above,down,True,65.0,79.75
2024-04-10,-86.34,stop,up,52.0,down,-19.0,up,50.5,above,down,False,60.0,77.25
2024-04-16,-86.34,stop,up,8.5,down,-24.25,down,-16.0,above,down,True,35.0,53.0
2024-04-25,93.66,target,up,213.75,up,181.0,up,17.0,above,down,False,50.0,67.75
2024-05-03,-86.34,stop,up,43.75,up,16.25,up,12.75,above,up,False,30.0,58.5
2024-05-06,93.66,target,up,123.25,up,91.0,up,11.25,above,up,False,35.0,58.5
2024-05-24,93.66,target,up,112.0,up,78.75,up,8.0,above,down,True,30.0,44.0
2024-05-29,93.66,target,up,45.5,down,-17.0,up,22.25,above,up,False,50.0,56.75
2024-06-07,93.66,target,down,-0.25,down,-3.5,down,-17.25,above,down,False,40.0,48.5
2024-06-10,93.66,target,up,124.25,up,85.75,up,10.5,above,down,False,40.0,46.0
2024-06-11,93.66,target,up,184.25,up,151.0,down,-2.0,above,up,True,35.0,41.5
2024-06-14,-86.34,stop,up,110.25,up,56.5,up,20.25,above,down,False,50.0,46.5
2024-06-17,-86.34,stop,up,231.75,up,204.5,down,-14.25,above,up,True,40.0,45.75
2024-06-25,93.66,target,up,137.75,up,115.75,down,-5.0,above,down,True,50.0,49.25
2024-07-03,93.66,target,up,202.75,up,144.75,up,42.0,above,up,True,60.0,51.5
2024-07-05,93.66,target,up,180.75,up,124.5,up,29.5,above,up,True,60.0,54.75
2024-07-10,-86.34,stop,up,135.25,up,115.75,down,-4.0,above,down,False,45.0,46.75
2024-07-15,93.66,target,down,-16.25,down,-76.0,down,-11.5,below,up,False,75.0,70.0
2024-07-31,93.66,target,up,127.25,up,65.5,down,-42.5,above,down,True,70.0,101.5
2024-08-07,-86.34,stop,down,-482.75,down,-579.0,up,65.0,below,up,False,55.00000000000001,102.0
2024-08-27,93.66,target,up,128.0,up,99.5,down,-48.5,above,down,False,55.00000000000001,84.75
2024-08-30,-86.34,stop,up,51.25,up,7.0,up,0.75,above,down,False,30.0,64.0
2024-09-04,-86.34,stop,up,79.5,down,-19.5,up,65.75,above,down,True,70.0,105.75
2024-09-09,-86.34,stop,up,59.0,up,2.75,up,23.25,above,down,True,35.0,70.0
2024-09-12,93.66,target,up,192.0,up,136.75,up,9.0,above,up,False,55.00000000000001,79.5
2024-09-17,-86.34,stop,down,-116.25,down,-152.5,down,-6.25,below,up,False,40.0,71.75
2024-09-19,93.66,target,up,28.75,down,-3.75,down,-21.5,above,down,False,30.0,68.75
2024-10-03,-86.34,stop,up,75.75,down,-69.25,up,80.0,above,up,False,75.0,111.75
