setup_label,direction,time_bucket,or_classification,rsi_regime,entry_vs_vwap,entry_vs_15m_ema9,trend_state,total_ideas,profitable_ideas,total_net_pnl,avg_net_pnl,median_net_pnl,avg_mfe_points,avg_mae_points,win_rate
pre_or_locked_trade,long,09:30-10:00,tight,unknown,below,unknown,unknown,1,1,1172.1399999999999,1172.1399999999999,1172.1399999999999,159.12078651685442,45.37921348314558,1.0
discretionary_or_unclassified,long,11:00-12:00,normal,neutral,below,below,mixed,1,1,1104.9,1104.9,1104.9,370.99375000000146,229.75624999999854,1.0
discretionary_or_unclassified,long,10:00-11:00,tight,neutral,below,below,downtrend_below_ema,1,1,726.92,726.92,726.92,104.37228260869597,80.62771739130403,1.0
discretionary_or_unclassified,short,09:30-10:00,normal,bull_trend_zone,above,above,uptrend_above_ema,2,2,646.9799999999999,323.48999999999995,323.48999999999995,88.62673611111131,11.498263888888687,1.0
discretionary_or_unclassified,short,10:00-11:00,normal,bull_trend_zone,above,above,uptrend_above_ema,7,7,642.8799999999999,91.83999999999999,85.32000000000001,92.40956817509661,47.98328896776054,1.0
pre_or_locked_trade,short,09:30-10:00,normal,unknown,above,unknown,unknown,3,3,611.26,203.75333333333333,251.9,145.73333333333358,73.76666666666642,1.0
discretionary_or_unclassified,short,10:00-11:00,wide,neutral,above,above,uptrend_above_ema,2,2,602.52,301.26,301.26,183.02272727272612,47.227272727273885,1.0
ema_continuation_candidate,short,10:00-11:00,normal,neutral,above,near,downtrend_below_ema,2,2,550.9,275.45,275.45,118.0,38.75,1.0
discretionary_or_unclassified,short,11:00-12:00,normal,neutral,above,above,uptrend_above_ema,2,1,550.0999999999999,275.04999999999995,275.04999999999995,187.6736111111113,48.07638888888869,0.5
pre_or_locked_trade,long,09:30-10:00,wide,unknown,below,unknown,unknown,2,2,443.08000000000004,221.54000000000002,221.54000000000002,48.350000000000364,58.524999999999636,1.0
discretionary_or_unclassified,short,09:30-10:00,normal,neutral,below,below,downtrend_below_ema,3,3,404.06,134.68666666666667,119.28,115.125,83.54166666666667,1.0
discretionary_or_unclassified,short,09:30-10:00,normal,neutral,below,above,uptrend_above_ema,1,1,400.52,400.52,400.52,254.375,83.875,1.0
discretionary_or_unclassified,short,12:00-13:30,tight,neutral,above,above,uptrend_above_ema,2,2,379.36,189.68,189.68,59.285714285713766,55.464285714286234,1.0
pre_or_locked_trade,short,09:30-10:00,normal,unknown,below,unknown,unknown,2,2,374.66,187.33,187.33,152.97500000000036,47.649999999999636,1.0
orb_breakout_or_retest_candidate,long,12:00-13:30,normal,neutral,below,below,downtrend_below_ema,2,2,367.86,183.93,183.93,79.20000000000073,66.42499999999927,1.0
discretionary_or_unclassified,short,09:30-10:00,normal,neutral,below,below,mixed,1,1,342.03999999999996,342.03999999999996,342.03999999999996,156.5,52.25,1.0
discretionary_or_unclassified,short,09:30-10:00,normal,neutral,above,above,uptrend_above_ema,3,3,336.08,112.02666666666666,51.26,79.96666666666715,44.94999999999951,1.0
discretionary_or_unclassified,long,09:30-10:00,normal,neutral,below,below,downtrend_below_ema,1,1,310.78000000000003,310.78000000000003,310.78000000000003,113.61650485436985,14.88349514563015,1.0
pre_or_locked_trade,short,09:30-10:00,normal,unknown,unknown,unknown,unknown,1,1,283.09999999999997,283.09999999999997,283.09999999999997,114.53529411764612,54.96470588235388,1.0
inverse_orb_candidate,long,10:00-11:00,wide,bear_trend_zone,below,below,downtrend_below_ema,3,3,255.9,85.3,59.32000000000001,116.64880952380918,81.2678571428575,1.0
inverse_orb_candidate,short,10:00-11:00,wide,bull_trend_zone,above,above,uptrend_above_ema,2,2,250.82000000000002,125.41000000000001,125.41000000000001,77.375,43.375,1.0
discretionary_or_unclassified,short,10:00-11:00,normal,neutral,below,below,mixed,1,1,248.27999999999997,248.27999999999997,248.27999999999997,137.25,59.75,1.0
discretionary_or_unclassified,short,09:30-10:00,tight,bear_trend_zone,below,below,downtrend_below_ema,1,1,246.51999999999998,246.51999999999998,246.51999999999998,119.625,25.875,1.0
ema_continuation_candidate,short,09:30-10:00,wide,bear_trend_zone,above,near,downtrend_below_ema,1,1,237.57999999999998,237.57999999999998,237.57999999999998,221.46875,253.03125,1.0
discretionary_or_unclassified,long,09:30-10:00,normal,bear_trend_zone,below,below,downtrend_below_ema,1,1,235.3,235.3,235.3,98.79999999999927,131.45000000000073,1.0
discretionary_or_unclassified,long,10:00-11:00,normal,neutral,below,below,downtrend_below_ema,1,1,219.52,219.52,219.52,64.5,14.25,1.0
inverse_orb_candidate,short,10:00-11:00,wide,neutral,above,above,mixed,1,1,214.08,214.08,214.08,190.9375,82.8125,1.0
discretionary_or_unclassified,short,09:30-10:00,tight,neutral,below,above,uptrend_above_ema,1,1,208.58,208.58,208.58,108.75,123.25,1.0
discretionary_or_unclassified,short,09:30-10:00,wide,bear_trend_zone,above,below,downtrend_below_ema,1,1,201.08,201.08,201.08,119.40625,100.09375,1.0
discretionary_or_unclassified,short,11:00-12:00,normal,bear_trend_zone,above,above,mixed,1,1,192.54,192.54,192.54,301.25,-116.75,1.0
discretionary_or_unclassified,short,11:00-12:00,tight,bull_trend_zone,above,above,uptrend_above_ema,2,2,171.82,85.91,85.91,62.6875,43.8125,1.0
orb_breakout_or_retest_candidate,long,12:00-13:30,tight,neutral,above,above,uptrend_above_ema,1,1,171.52,171.52,171.52,198.25,15.75,1.0
inverse_orb_candidate,short,10:00-11:00,wide,neutral,below,below,mixed,1,1,170.56,170.56,170.56,195.375,47.125,1.0
orb_breakout_or_retest_candidate,short,10:00-11:00,wide,neutral,above,below,downtrend_below_ema,1,1,167.26,167.26,167.26,90.25,6.25,1.0
discretionary_or_unclassified,short,09:30-10:00,normal,bear_trend_zone,below,below,downtrend_below_ema,1,1,164.01999999999998,164.01999999999998,164.01999999999998,169.125,178.125,1.0
pre_or_locked_trade,short,09:30-10:00,tight,unknown,above,unknown,unknown,2,2,163.17999999999995,81.58999999999997,81.58999999999997,102.5,41.0,1.0
discretionary_or_unclassified,short,11:00-12:00,normal,neutral,below,below,mixed,1,1,159.14000000000001,159.14000000000001,159.14000000000001,306.05357142857247,169.94642857142753,1.0
discretionary_or_unclassified,long,10:00-11:00,normal,bear_trend_zone,below,below,downtrend_below_ema,2,2,157.04000000000002,78.52000000000001,78.52000000000001,54.75,110.625,1.0
discretionary_or_unclassified,short,10:00-11:00,normal,bear_trend_zone,above,above,mixed,2,1,153.24000000000007,76.62000000000003,76.62000000000003,295.9859693877552,1.6390306122448237,0.5
discretionary_or_unclassified,long,10:00-11:00,tight,bear_trend_zone,below,below,downtrend_below_ema,1,1,138.26,138.26,138.26,92.75,43.0,1.0
orb_breakout_or_retest_candidate,long,11:00-12:00,normal,neutral,below,below,downtrend_below_ema,2,2,123.14000000000001,61.57000000000001,61.57000000000001,90.92307692307622,53.70192307692378,1.0
discretionary_or_unclassified,short,10:00-11:00,tight,bear_trend_zone,below,below,downtrend_below_ema,1,1,121.04,121.04,121.04,83.1875,60.3125,1.0
pre_or_locked_trade,short,09:30-10:00,tight,unknown,unknown,unknown,unknown,1,1,117.78,117.78,117.78,43.66666666666788,48.58333333333212,1.0
inverse_orb_candidate,short,10:00-11:00,wide,neutral,above,above,uptrend_above_ema,2,2,110.32,55.16,55.16,110.35000000000036,61.399999999999636,1.0
discretionary_or_unclassified,short,09:30-10:00,tight,neutral,below,below,mixed,1,1,106.26,106.26,106.26,93.25,2.75,1.0
discretionary_or_unclassified,short,12:00-13:30,normal,neutral,above,above,uptrend_above_ema,1,1,97.32000000000001,97.32000000000001,97.32000000000001,195.8571428571413,94.8928571428587,1.0
discretionary_or_unclassified,short,10:00-11:00,normal,bull_trend_zone,below,above,uptrend_above_ema,1,1,96.78,96.78,96.78,174.83333333333212,168.66666666666788,1.0
discretionary_or_unclassified,short,09:30-10:00,tight,bull_trend_zone,near,above,uptrend_above_ema,1,1,93.76,93.76,93.76,64.75,21.75,1.0
pre_or_locked_trade,short,09:30-10:00,tight,unknown,below,unknown,unknown,1,1,83.52,83.52,83.52,81.625,47.875,1.0
discretionary_or_unclassified,long,10:00-11:00,normal,neutral,above,above,mixed,1,1,79.02000000000001,79.02000000000001,79.02000000000001,-183.75,241.25,1.0
discretionary_or_unclassified,short,09:30-10:00,tight,neutral,above,above,mixed,1,1,73.52000000000001,73.52000000000001,73.52000000000001,325.375,-140.625,1.0
discretionary_or_unclassified,short,10:00-11:00,normal,bear_trend_zone,above,below,downtrend_below_ema,1,1,70.54,70.54,70.54,94.1875,80.0625,1.0
discretionary_or_unclassified,long,10:00-11:00,normal,neutral,above,above,uptrend_above_ema,1,1,64.26,64.26,64.26,55.75,32.25,1.0
pre_or_locked_trade,short,09:30-10:00,wide,unknown,above,unknown,unknown,2,1,61.679999999999986,30.839999999999993,30.839999999999993,219.5174549549556,68.10754504504439,0.5
discretionary_or_unclassified,short,10:00-11:00,normal,neutral,above,above,uptrend_above_ema,5,4,60.19999999999998,12.039999999999996,8.279999999999982,179.16904761904806,18.380952380951932,0.8
discretionary_or_unclassified,short,09:30-10:00,tight,bull_trend_zone,above,above,uptrend_above_ema,1,1,59.52,59.52,59.52,35.75,4.0,1.0
discretionary_or_unclassified,short,12:00-13:30,tight,bull_trend_zone,above,above,uptrend_above_ema,1,1,59.28,59.28,59.28,23.33333333333212,25.41666666666788,1.0
orb_breakout_or_retest_candidate,long,11:00-12:00,normal,bear_trend_zone,above,above,mixed,1,1,51.32000000000001,51.32000000000001,51.32000000000001,-165.46428571428623,232.96428571428623,1.0
orb_breakout_or_retest_candidate,short,10:00-11:00,normal,bear_trend_zone,above,below,downtrend_below_ema,1,1,51.31999999999999,51.31999999999999,51.31999999999999,282.17857142857247,92.07142857142753,1.0
discretionary_or_unclassified,short,13:30-15:00,tight,bull_trend_zone,above,below,mixed,1,1,50.52,50.52,50.52,88.875,73.625,1.0
inverse_orb_candidate,short,13:30-15:00,wide,neutral,above,above,uptrend_above_ema,1,1,48.26,48.26,48.26,27.0,18.5,1.0
orb_breakout_or_retest_candidate,short,13:30-15:00,wide,neutral,below,below,downtrend_below_ema,1,1,46.52,46.52,46.52,56.0,121.25,1.0
discretionary_or_unclassified,short,13:30-15:00,normal,neutral,above,above,uptrend_above_ema,1,1,45.26,45.26,45.26,25.25,10.0,1.0
orb_breakout_or_retest_candidate,short,11:00-12:00,normal,neutral,below,below,downtrend_below_ema,1,1,41.76,41.76,41.76,27.0,9.5,1.0
discretionary_or_unclassified,long,13:30-15:00,tight,bear_trend_zone,below,near,downtrend_below_ema,1,1,41.26,41.26,41.26,35.0,12.5,1.0
discretionary_or_unclassified,short,11:00-12:00,tight,neutral,above,below,downtrend_below_ema,1,1,38.76,38.76,38.76,28.25,40.75,1.0
discretionary_or_unclassified,short,10:00-11:00,tight,bull_trend_zone,near,above,uptrend_above_ema,1,1,35.76,35.76,35.76,32.25,9.5,1.0
orb_breakout_or_retest_candidate,short,12:00-13:30,normal,neutral,above,above,mixed,1,1,35.56,35.56,35.56,62.33333333333212,25.91666666666788,1.0
discretionary_or_unclassified,long,10:00-11:00,tight,neutral,below,near,downtrend_below_ema,1,1,33.519999999999996,33.519999999999996,33.519999999999996,41.5,12.75,1.0
orb_breakout_or_retest_candidate,long,11:00-12:00,normal,neutral,below,near,uptrend_above_ema,1,1,31.28,31.28,31.28,26.08333333333212,84.41666666666788,1.0
discretionary_or_unclassified,long,13:30-15:00,wide,neutral,below,below,downtrend_below_ema,1,1,30.600000000000016,30.600000000000016,30.600000000000016,89.17499999999927,66.07500000000073,1.0
orb_breakout_or_retest_candidate,short,11:00-12:00,tight,neutral,below,near,uptrend_above_ema,1,1,30.520000000000003,30.520000000000003,30.520000000000003,32.75,42.25,1.0
discretionary_or_unclassified,short,10:00-11:00,normal,neutral,above,above,mixed,1,1,28.02000000000001,28.02000000000001,28.02000000000001,110.25,208.75,1.0
orb_breakout_or_retest_candidate,long,13:30-15:00,normal,neutral,below,below,downtrend_below_ema,1,1,23.26,23.26,23.26,19.75,2.0,1.0
discretionary_or_unclassified,long,13:30-15:00,tight,bear_trend_zone,below,below,downtrend_below_ema,1,1,19.26,19.26,19.26,16.5,24.5,1.0
discretionary_or_unclassified,short,10:00-11:00,tight,neutral,below,above,uptrend_above_ema,1,1,19.02,19.02,19.02,55.625,81.875,1.0
discretionary_or_unclassified,short,10:00-11:00,tight,neutral,below,below,mixed,1,1,17.80000000000001,17.80000000000001,17.80000000000001,97.84999999999854,118.40000000000146,1.0
orb_breakout_or_retest_candidate,long,10:00-11:00,tight,neutral,below,below,mixed,1,1,16.52,16.52,16.52,15.75,10.0,1.0
orb_breakout_or_retest_candidate,short,12:00-13:30,wide,neutral,below,below,downtrend_below_ema,2,2,16.02,8.01,8.01,12.0,8.5,1.0
discretionary_or_unclassified,long,15:00-16:00,normal,bear_trend_zone,below,below,downtrend_below_ema,1,1,13.26,13.26,13.26,12.5,11.75,1.0
discretionary_or_unclassified,long,12:00-13:30,normal,bear_trend_zone,below,below,downtrend_below_ema,1,1,12.26,12.26,12.26,25.0,23.0,1.0
inverse_orb_candidate,short,12:00-13:30,wide,bull_trend_zone,above,above,uptrend_above_ema,1,1,10.76,10.76,10.76,10.0,7.25,1.0
discretionary_or_unclassified,short,10:00-11:00,wide,bear_trend_zone,below,below,downtrend_below_ema,1,1,10.26,10.26,10.26,20.5,14.5,1.0
inverse_orb_candidate,long,12:00-13:30,wide,bear_trend_zone,below,below,downtrend_below_ema,1,1,9.76,9.76,9.76,17.0,3.0,1.0
discretionary_or_unclassified,short,15:00-16:00,normal,neutral,below,near,uptrend_above_ema,1,1,7.76,7.76,7.76,8.75,7.75,1.0
discretionary_or_unclassified,long,09:30-10:00,tight,bear_trend_zone,below,below,downtrend_below_ema,1,1,7.039999999999999,7.039999999999999,7.039999999999999,29.0,12.5,1.0
discretionary_or_unclassified,short,10:00-11:00,tight,neutral,above,above,uptrend_above_ema,1,1,3.76,3.76,3.76,51.5,36.5,1.0
discretionary_or_unclassified,short,15:00-16:00,normal,bull_trend_zone,above,above,uptrend_above_ema,1,1,2.26,2.26,2.26,5.75,10.0,1.0
discretionary_or_unclassified,short,15:00-16:00,tight,bull_trend_zone,above,above,uptrend_above_ema,1,1,2.26,2.26,2.26,6.5,3.5,1.0
inverse_orb_candidate,long,13:30-15:00,wide,bear_trend_zone,below,below,downtrend_below_ema,1,1,2.26,2.26,2.26,18.5,69.5,1.0
discretionary_or_unclassified,long,12:00-13:30,tight,bear_trend_zone,below,below,downtrend_below_ema,1,1,1.26,1.26,1.26,64.25,7.5,1.0
discretionary_or_unclassified,short,12:00-13:30,normal,neutral,below,below,mixed,1,1,0.26,0.26,0.26,4.75,54.5,1.0
