idea_id,fill_count,source_row_ids,symbol,contract,direction,entry_time_et,exit_time_et,trade_date_et,duration_minutes,weighted_entry_price,weighted_exit_price,contract_turnover,max_overlapping_contracts,gross_pnl,fees,net_pnl
1,1,1625258966,F.US.MNQ,MNQZ25,long,2025-11-13 09:41:55.866320-05:00,2025-11-13 09:53:10.472542-05:00,2025-11-13,11.243437033333333,25347.0,25376.0,3,3,174.0,2.22,171.78
2,1,1632544631,F.US.MNQ,MNQZ25,long,2025-11-14 08:38:31.346902-05:00,2025-11-14 08:48:02.811966-05:00,2025-11-14,9.524417733333333,24682.5,24700.25,2,2,71.0,1.48,69.52
3,6,1633651534|1633651535|1633808427|1634591969|1635347553|1635435992,F.US.MNQ,MNQZ25,short,2025-11-14 09:45:59.318167-05:00,2025-11-14 12:40:25.720767-05:00,2025-11-14,174.44004333333334,25040.46875,25025.25,8,4,243.5,5.92,237.57999999999998
4,3,1638942208|1638942209|1639075687,F.US.MNQ,MNQZ25,short,2025-11-17 02:32:55.551185-05:00,2025-11-17 04:03:07.658811-05:00,2025-11-17,90.20179376666667,25337.535714285714,25330.0,7,6,105.5,5.18,100.32000000000001
5,3,1639817428|1639817429|1640490016,F.US.MNQ,MNQZ25,long,2025-11-17 07:36:06.928028-05:00,2025-11-17 09:35:14.826110-05:00,2025-11-17,119.13163469999999,25088.60714285714,25089.035714285714,7,6,6.0,5.18,0.8200000000000038
6,6,1641293988|1641568016|1641641248|1642039902|1642787892|1642838435,F.US.MNQ,MNQZ25,short,2025-11-17 10:07:07.726037-05:00,2025-11-17 11:53:39.775179-05:00,2025-11-17,106.53415236666666,25138.875,25124.291666666668,6,1,175.0,4.4399999999999995,170.56
7,6,1643911162|1644003464|1644277295|1644277296|1644300284|1644367838,F.US.MNQ,MNQZ25,long,2025-11-17 13:58:16.361276-05:00,2025-11-17 14:57:29.636304-05:00,2025-11-17,59.22125046666667,24826.075,24827.975,10,6,38.0,7.4,30.600000000000016
8,2,1648080414|1648090208,F.US.MNQ,MNQZ25,short,2025-11-18 07:00:28.630346-05:00,2025-11-18 07:03:01.293513-05:00,2025-11-18,2.5443861166666664,24781.5,24770.25,4,3,90.0,2.96,87.03999999999999
9,4,1650081757|1650402032|1651191645|1651269156,F.US.MNQ,MNQZ25,long,2025-11-18 09:59:02.632250-05:00,2025-11-18 11:13:04.108423-05:00,2025-11-18,74.02460288333333,24511.45,24535.35,5,2,239.0,3.7,235.3
10,1,1656492782,F.US.MNQ,MNQZ25,short,2025-11-19 05:48:50.676508-05:00,2025-11-19 07:11:23.369719-05:00,2025-11-19,82.54488685,24677.75,24675.0,1,1,5.5,0.74,4.76
11,5,1658415597|1658415598|1658536607|1658655133|1659543232,F.US.MNQ,MNQZ25,short,2025-11-19 10:01:52.772502-05:00,2025-11-19 11:24:59.720750-05:00,2025-11-19,83.11580413333333,24918.035714285714,24910.14285714286,7,4,110.5,5.18,105.32000000000001
12,6,1660429405|1660491085|1660511047|1660601396|1660651919|1660653741,F.US.MNQ,MNQZ25,long,2025-11-19 12:35:11.636672-05:00,2025-11-19 13:08:59.915179-05:00,2025-11-19,33.80464178333333,24610.0,24626.833333333332,6,1,202.0,4.4399999999999995,197.56
13,13,1665909292|1666372271|1666432338|1666539485|1666664879|1666909123|1666909124|1667257843|1667257845|1667325788|1667360652|1667428074|1667477158,F.US.MNQ,MNQZ25,short,2025-11-20 09:43:58.357097-05:00,2025-11-20 10:58:30.553235-05:00,2025-11-20,74.5366023,25238.9,25230.133333333335,15,4,263.0,11.1,251.9
14,16,1667653771|1667732823|1667732824|1667909190|1667909191|1667937725|1667986604|1668042548|1668128182|1668271111|1668347825|1668375549|1668441712|1668587432|1668587437|1668587439,F.US.MNQ,MNQZ25,long,2025-11-20 11:06:59.381765-05:00,2025-11-20 12:00:17.118239-05:00,2025-11-20,53.2956079,24741.50625,24755.6875,40,21,1134.5,29.6,1104.9
