date,rule,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,net_pnl
2024-03-04,a_plus_short,2024-03-04 10:28:00-05:00,2024-03-04 10:29:00-05:00,18528.75,18568.75,18478.75,2024-03-04 10:37:00-05:00,18571.25,stop,-86.34
2024-03-06,a_plus_short,2024-03-06 10:52:00-05:00,2024-03-06 10:53:00-05:00,18307.75,18347.75,18257.75,2024-03-06 11:02:00-05:00,18350.25,stop,-86.34
2024-03-13,a_plus_short,2024-03-13 10:35:00-04:00,2024-03-13 10:36:00-04:00,18346.0,18386.0,18296.0,2024-03-13 11:42:00-04:00,18298.5,target,93.66
2024-03-14,a_plus_short,2024-03-14 10:32:00-04:00,2024-03-14 10:33:00-04:00,18317.75,18357.75,18267.75,2024-03-14 11:23:00-04:00,18270.25,target,93.66
2024-04-02,a_plus_short,2024-04-02 10:56:00-04:00,2024-04-02 10:57:00-04:00,18215.0,18255.0,18165.0,2024-04-02 11:12:00-04:00,18257.5,stop,-86.34
2024-04-09,a_plus_short,2024-04-09 10:06:00-04:00,2024-04-09 10:07:00-04:00,18337.5,18377.5,18287.5,2024-04-09 10:28:00-04:00,18290.0,target,93.66
2024-05-23,a_plus_short,2024-05-23 10:42:00-04:00,2024-05-23 10:43:00-04:00,18893.0,18933.0,18843.0,2024-05-23 10:53:00-04:00,18845.5,target,93.66
2024-05-28,a_plus_short,2024-05-28 10:00:00-04:00,2024-05-28 10:01:00-04:00,18849.75,18889.75,18799.75,2024-05-28 10:05:00-04:00,18892.25,stop,-86.34
2024-06-03,a_plus_short,2024-06-03 10:01:00-04:00,2024-06-03 10:02:00-04:00,18674.75,18714.75,18624.75,2024-06-03 10:48:00-04:00,18627.25,target,93.66
2024-06-13,a_plus_short,2024-06-13 10:11:00-04:00,2024-06-13 10:12:00-04:00,19604.0,19644.0,19554.0,2024-06-13 10:23:00-04:00,19556.5,target,93.66
2024-08-28,a_plus_short,2024-08-28 10:28:00-04:00,2024-08-28 10:29:00-04:00,19573.75,19613.75,19523.75,2024-08-28 10:42:00-04:00,19526.25,target,93.66
2024-09-10,a_plus_short,2024-09-10 10:22:00-04:00,2024-09-10 10:23:00-04:00,18704.0,18744.0,18654.0,2024-09-10 10:26:00-04:00,18746.5,stop,-86.34
2024-09-17,a_plus_short,2024-09-17 10:00:00-04:00,2024-09-17 10:01:00-04:00,19512.0,19552.0,19462.0,2024-09-17 10:04:00-04:00,19554.5,stop,-86.34
2024-09-18,a_plus_short,2024-09-18 10:19:00-04:00,2024-09-18 10:20:00-04:00,19429.25,19469.25,19379.25,2024-09-18 10:40:00-04:00,19471.75,stop,-86.34
2024-09-26,a_plus_short,2024-09-26 10:00:00-04:00,2024-09-26 10:01:00-04:00,20416.5,20456.5,20366.5,2024-09-26 10:25:00-04:00,20369.0,target,93.66
2024-09-27,a_plus_short,2024-09-27 10:19:00-04:00,2024-09-27 10:20:00-04:00,20285.25,20325.25,20235.25,2024-09-27 10:22:00-04:00,20327.75,stop,-86.34
2024-10-28,a_plus_short,2024-10-28 11:00:00-04:00,2024-10-28 11:01:00-04:00,20549.75,20589.75,20499.75,2024-10-28 15:55:00-04:00,20502.25,target,93.66
2024-11-11,a_plus_short,2024-11-11 10:12:00-05:00,2024-11-11 10:13:00-05:00,21175.75,21215.75,21125.75,2024-11-11 10:32:00-05:00,21218.25,stop,-86.34
2024-11-14,a_plus_short,2024-11-14 10:03:00-05:00,2024-11-14 10:04:00-05:00,21073.5,21113.5,21023.5,2024-11-14 10:08:00-05:00,21116.0,stop,-86.34
2024-11-27,a_plus_short,2024-11-27 10:00:00-05:00,2024-11-27 10:01:00-05:00,20843.5,20883.5,20793.5,2024-11-27 10:16:00-05:00,20796.0,target,93.66
2024-12-23,a_plus_short,2024-12-23 10:02:00-05:00,2024-12-23 10:03:00-05:00,21581.75,21621.75,21531.75,2024-12-23 10:03:00-05:00,21624.25,stop,-86.34
2025-01-16,a_plus_short,2025-01-16 10:11:00-05:00,2025-01-16 10:12:00-05:00,21381.25,21421.25,21331.25,2025-01-16 10:59:00-05:00,21423.75,stop,-86.34
2025-01-29,a_plus_short,2025-01-29 10:42:00-05:00,2025-01-29 10:43:00-05:00,21493.75,21533.75,21443.75,2025-01-29 12:21:00-05:00,21536.25,stop,-86.34
2025-02-21,a_plus_short,2025-02-21 10:05:00-05:00,2025-02-21 10:06:00-05:00,22077.0,22117.0,22027.0,2025-02-21 10:24:00-05:00,22029.5,target,93.66
2025-03-12,a_plus_short,2025-03-12 10:11:00-04:00,2025-03-12 10:12:00-04:00,19659.25,19699.25,19609.25,2025-03-12 10:16:00-04:00,19611.75,target,93.66
